mu,phidot0,stable,chi2,chi2_per_point,chi2_reduced_k2,delta_chi2_vs_LCDM,max_Omega_MAAT,max_abs_delta_H,min_P_X,min_cs2,max_cs2
0.06309573444801933,0.4666666666666667,True,15.753363367664083,0.5081730118601316,0.5432194264711753,0.8775017773907319,0.0001195485020313735,0.02258173378599389,1.0028449948914702,1.0000004868113952,1.0005574625881033
0.06309573444801933,0.5722222222222222,True,15.75332822269924,0.5081718781515884,0.5432182145758359,0.8774666324258895,0.00011974127291975311,0.022580103395065148,1.0027109488484471,1.000000732201032,1.0007613035221146
0.06309573444801933,0.6777777777777778,True,15.753286738916577,0.5081705399650509,0.5432167841005716,0.8774251486432263,0.0001199693304027379,0.022578455807261057,1.0025655078588658,1.000001027699205,1.0009568745883124
0.06309573444801933,0.7833333333333333,True,15.753239294423226,0.5081690094975234,0.5432151480835595,0.8773777041498754,0.00012023090256783482,0.022576890862746647,1.0024141178358952,1.0000013734496964,1.0011321018189534
0.06309573444801933,0.888888888888889,True,15.75318629125371,0.5081672997178617,0.543213320388059,0.8773247009803598,0.00012052416443595624,0.022575487526425263,1.0022613926373811,1.0000017696218704,1.0012795358217088
0.06309573444801933,0.9944444444444445,True,15.75312814797777,0.5081654241283152,0.5432113154475093,0.8772665577044201,0.00012084729569074937,0.022574302108024535,1.0021109847492213,1.0000022164075761,1.0013958942579313
0.06309573444801933,1.0999999999999999,True,15.753065294525,0.5081633965975806,0.543209148087069,0.8772037042516487,0.00012119852501805357,0.022573369592749987,1.0019655960492064,1.0000027140172356,1.0014811371166457
0.06309573444801933,1.2055555555555555,True,15.752998168645039,0.5081612312466142,0.5432068334015531,0.8771365783716885,0.000121576161687889,0.02257270679514859,1.001827077073048,1.000003262675635,1.0015374255918654
0.06309573444801933,1.3111111111111111,True,15.75292721339083,0.5081589423674461,0.5432043866686493,0.8770656231174794,0.00012197861606206415,0.02257231624470899,1.001696569176347,1.0000038626178234,1.0015681878578024
0.06309573444801933,1.4166666666666665,True,15.752852875112918,0.5081565443584812,0.5432018232797557,0.8769912848395673,0.0001224044111340296,0.02257219004621733,1.001574656422432,1.0000045140853846,1.0015773929330756
0.06309573444801933,1.5222222222222221,True,15.752775601604418,0.5081540516646587,0.5431991586760144,0.876914011331067,0.0001228521872127331,0.022572313284259588,1.0014615068942034,1.0000052173232103,1.001577316987096
