Delta,Sigma_env,S_env,max_delta_mu_pct,max_delta_slip_pct,max_delta_Sigma_lens_pct
33691.73392,0.01666666667,0.002673700979,0.005338351653,0.008007527479,0.009342329128
38804.00532,0.01666666667,0.002405544826,0.004802947039,0.007204420558,0.00840533033
44691.99574,0.01666666667,0.002164225582,0.0043211254,0.0064816881,0.007562109491
51473.4102,0.01666666667,0.00194706837,0.00388754604,0.005831319061,0.006803318918
59283.81388,0.01666666667,0.001751662843,0.003497396421,0.005246094631,0.006120535475
68279.34219,0.01666666667,0.001575837414,0.00314634072,0.00471951108,0.005506170506
78639.82197,0.01666666667,0.001417635931,0.002830473256,0.004245709884,0.004953388285
90572.36643,0.01666666667,0.001275296563,0.00254627633,0.003819414495,0.004456032204
104315.5154,0.01666666667,0.001147232709,0.00229058211,0.003435873166,0.004008558044
120144.004,0.01666666667,0.00103201574,0.002060538174,0.003090807261,0.003605973649
138374.2547,0.01666666667,0.0009283594085,0.001853576381,0.002780364571,0.003243784434
159370.7028,0.01666666667,0.0008351057706,0.001667384762,0.002501077143,0.002917944185
183553.082,0.01666666667,0.0007512124793,0.001499882153,0.00224982323,0.00262481064
211404.8148,0.01666666667,0.0006757413178,0.001349195295,0.002023792943,0.002361105419
243482.6768,0.01666666667,0.0006078478563,0.001213638187,0.001820457281,0.002123877874
280427.9265,0.01666666667,0.0005467721251,0.001091693462,0.001637540193,0.001910472497
322979.1253,0.01666666667,0.0004918302062,0.0009819955991,0.001472993399,0.001718499531
371986.9012,0.01666666667,0.0004424066541,0.0008833157903,0.001324973685,0.001545808485
428430.9536,0.01666666667,0.000397947666,0.000794548305,0.001191822458,0.001390464269
493439.6384,0.01666666667,0.0003579549289,0.0007146982035,0.001072047305,0.001250725687
568312.5243,0.01666666667,0.0003219800758,0.0006428702699,0.0009643054048,0.001125026072
654546.3724,0.01666666667,0.0002896196937,0.0005782590436,0.0008673885654,0.001011955834
753865.0571,0.01666666667,0.0002605108274,0.0005201398426,0.0007802097639,0.0009102467536
868254.028,0.01666666667,0.0002343269307,0.0004678606798,0.0007017910198,0.0008187578314
1000000,0.01666666667,0.0002107742213,0.0004208349855,0.0006312524783,0.000736462553
