family,instance_id,heuristic,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,backtracks,max_depth,search_cost
random_3sat,20,maat_v16_branch,18,83,4.611111111111111,1,1,0,3,14,0,0,3,1.6863989535702288
random_3sat,20,maat_v16_heavy,18,83,4.611111111111111,1,1,0,3,14,0,0,3,1.6863989535702288
planted_3sat,21,random,18,83,4.611111111111111,1,1,0,26,95,11,20,6,3.7921127087555884
planted_3sat,21,first,18,83,4.611111111111111,1,1,0,32,120,15,27,8,4.019082077721554
planted_3sat,21,degree,18,83,4.611111111111111,1,1,0,5,12,0,0,5,1.9740810260220096
planted_3sat,21,jeroslow_wang,18,83,4.611111111111111,1,1,0,5,12,0,0,5,1.9740810260220096
planted_3sat,21,moms,18,83,4.611111111111111,1,1,0,5,22,1,1,4,2.169053700369523
planted_3sat,21,maat_v16_branch,18,83,4.611111111111111,1,1,0,5,12,0,0,5,1.9740810260220096
planted_3sat,21,maat_v16_heavy,18,83,4.611111111111111,1,1,0,6,26,1,1,5,2.3174737054877963
random_3sat,22,random,18,83,4.611111111111111,1,0,0,28,108,15,28,6,3.9249392306946924
random_3sat,22,first,18,83,4.611111111111111,1,0,0,14,45,8,14,3,3.2228678461377385
random_3sat,22,degree,18,83,4.611111111111111,1,0,0,18,58,10,18,4,3.462606009790799
random_3sat,22,jeroslow_wang,18,83,4.611111111111111,1,0,0,18,58,10,18,4,3.462606009790799
random_3sat,22,moms,18,83,4.611111111111111,1,0,0,10,45,6,10,3,2.975529566236472
random_3sat,22,maat_v16_branch,18,83,4.611111111111111,1,0,0,18,58,10,18,4,3.462606009790799
random_3sat,22,maat_v16_heavy,18,83,4.611111111111111,1,0,0,16,59,9,16,4,3.3758795736778655
planted_3sat,23,random,18,83,4.611111111111111,1,1,0,19,71,9,16,5,3.5100517865742376
planted_3sat,23,first,18,83,4.611111111111111,1,1,0,4,13,0,0,4,1.840549633397487
planted_3sat,23,degree,18,83,4.611111111111111,1,1,0,16,65,7,13,5,3.351656936102019
planted_3sat,23,jeroslow_wang,18,83,4.611111111111111,1,1,0,16,63,7,13,5,3.3446270301737613
planted_3sat,23,moms,18,83,4.611111111111111,1,1,0,14,75,7,12,4,3.3087165288679903
planted_3sat,23,maat_v16_branch,18,83,4.611111111111111,1,1,0,15,64,7,13,5,3.3123661679555396
planted_3sat,23,maat_v16_heavy,18,83,4.611111111111111,1,1,0,12,62,5,9,4,3.1245651453969594
random_3sat,24,random,22,84,3.8181818181818183,1,0,0,56,247,29,56,8,4.635214307336468
random_3sat,24,first,22,84,3.8181818181818183,1,0,0,48,197,25,48,7,4.4664826662141985
random_3sat,24,degree,22,84,3.8181818181818183,1,0,0,26,154,14,26,4,3.960813169597578
random_3sat,24,jeroslow_wang,22,84,3.8181818181818183,1,0,0,14,102,8,14,4,3.427514689979529
random_3sat,24,moms,22,84,3.8181818181818183,1,0,0,16,101,9,16,4,3.5100517865742376
random_3sat,24,maat_v16_branch,22,84,3.8181818181818183,1,0,0,26,150,14,26,4,3.9531649487593215
random_3sat,24,maat_v16_heavy,22,84,3.8181818181818183,1,0,0,28,146,15,28,5,3.9972828493789696
planted_3sat,25,random,22,84,3.8181818181818183,1,1,0,7,14,0,0,7,2.2407096892759584
planted_3sat,25,first,22,84,3.8181818181818183,1,1,0,11,16,1,1,10,2.6497146240892464
planted_3sat,25,degree,22,84,3.8181818181818183,1,1,0,14,55,5,9,7,3.1801349965517702
planted_3sat,25,jeroslow_wang,22,84,3.8181818181818183,1,1,0,8,10,0,0,8,2.302585092994046
planted_3sat,25,moms,22,84,3.8181818181818183,1,1,0,9,35,2,3,6,2.6946271807700692
planted_3sat,25,maat_v16_branch,22,84,3.8181818181818183,1,1,0,8,10,0,0,8,2.302585092994046
planted_3sat,25,maat_v16_heavy,22,84,3.8181818181818183,1,1,0,4,14,0,0,4,1.8562979903656263
random_3sat,26,random,22,84,3.8181818181818183,1,0,0,60,273,31,60,7,4.710880640410205
random_3sat,26,first,22,84,3.8181818181818183,1,0,0,56,277,29,56,6,4.663910681010692
random_3sat,26,degree,22,84,3.8181818181818183,1,0,0,16,93,9,16,6,3.48584485572244
random_3sat,26,jeroslow_wang,22,84,3.8181818181818183,1,0,0,14,87,8,14,5,3.3775875160230218
random_3sat,26,moms,22,84,3.8181818181818183,1,0,0,16,84,9,16,5,3.4578927253387004
random_3sat,26,maat_v16_branch,22,84,3.8181818181818183,1,0,0,16,93,9,16,6,3.48584485572244
random_3sat,26,maat_v16_heavy,22,84,3.8181818181818183,1,0,0,20,113,11,20,6,3.6926224403927708
planted_3sat,27,random,22,84,3.8181818181818183,1,1,0,9,10,0,0,9,2.3978952727983707
planted_3sat,27,first,22,84,3.8181818181818183,1,1,0,11,60,4,7,7,3.034952986707272
planted_3sat,27,degree,22,84,3.8181818181818183,1,1,0,12,63,4,7,5,3.095577608523707
planted_3sat,27,jeroslow_wang,22,84,3.8181818181818183,1,1,0,5,17,0,0,5,2.0412203288596382
planted_3sat,27,moms,22,84,3.8181818181818183,1,1,0,5,29,1,1,4,2.2460147415056513
planted_3sat,27,maat_v16_branch,22,84,3.8181818181818183,1,1,0,12,59,4,7,5,3.077312260546414
planted_3sat,27,maat_v16_heavy,22,84,3.8181818181818183,1,1,0,12,63,4,7,5,3.095577608523707
random_3sat,28,random,22,84,3.8181818181818183,1,1,0,7,14,0,0,7,2.2407096892759584
random_3sat,28,first,22,84,3.8181818181818183,1,1,0,8,29,1,1,7,2.5217206229107165
random_3sat,28,degree,22,84,3.8181818181818183,1,1,0,9,11,0,0,9,2.4069451083182885
random_3sat,28,jeroslow_wang,22,84,3.8181818181818183,1,1,0,7,13,0,0,7,2.2300144001592104
random_3sat,28,moms,22,84,3.8181818181818183,1,1,0,8,12,0,0,8,2.322387720290225
random_3sat,28,maat_v16_branch,22,84,3.8181818181818183,1,1,0,6,14,0,0,6,2.128231705849268
random_3sat,28,maat_v16_heavy,22,84,3.8181818181818183,1,1,0,11,15,1,1,10,2.6426223957797546
planted_3sat,29,random,22,84,3.8181818181818183,1,1,0,11,9,0,0,11,2.5572273113676265
planted_3sat,29,first,22,84,3.8181818181818183,1,1,0,17,69,6,11,8,3.374168709274236
planted_3sat,29,degree,22,84,3.8181818181818183,1,1,0,12,24,2,3,9,2.8154087194227095
planted_3sat,29,jeroslow_wang,22,84,3.8181818181818183,1,1,0,9,8,0,0,9,2.379546134130174
planted_3sat,29,moms,22,84,3.8181818181818183,1,1,0,8,9,0,0,8,2.2925347571405443
planted_3sat,29,maat_v16_branch,22,84,3.8181818181818183,1,1,0,9,8,0,0,9,2.379546134130174
planted_3sat,29,maat_v16_heavy,22,84,3.8181818181818183,1,1,0,12,24,2,3,9,2.8154087194227095
random_3sat,30,random,22,84,3.8181818181818183,1,1,0,6,14,0,0,6,2.128231705849268
random_3sat,30,first,22,84,3.8181818181818183,1,1,0,8,13,0,0,8,2.33214389523559
random_3sat,30,degree,22,84,3.8181818181818183,1,1,0,9,10,0,0,9,2.3978952727983707
random_3sat,30,jeroslow_wang,22,84,3.8181818181818183,1,1,0,6,15,0,0,6,2.1400661634962708
random_3sat,30,moms,22,84,3.8181818181818183,1,1,0,8,11,0,0,8,2.312535423847214
random_3sat,30,maat_v16_branch,22,84,3.8181818181818183,1,1,0,6,15,0,0,6,2.1400661634962708
random_3sat,30,maat_v16_heavy,22,84,3.8181818181818183,1,1,0,8,11,0,0,8,2.312535423847214
planted_3sat,31,random,22,84,3.8181818181818183,1,1,0,9,23,1,1,8,2.553343811341229
planted_3sat,31,first,22,84,3.8181818181818183,1,1,0,14,5,0,0,14,2.740840023925201
planted_3sat,31,degree,22,84,3.8181818181818183,1,1,0,13,29,2,3,10,2.9014215940827497
planted_3sat,31,jeroslow_wang,22,84,3.8181818181818183,1,1,0,13,29,2,3,10,2.9014215940827497
planted_3sat,31,moms,22,84,3.8181818181818183,1,1,0,10,34,2,3,7,2.7536607123542622
