z,E_LCDM,D_growth,fsigma8_ref,U_struct,d_H,d_S,d_V,d_R,Gamma_H,Gamma_V,Gamma_R,CCI_v02_norm,CCI_v03_norm,F_struct_v03,curvature_log_CCI_v03
0.3583518931,1.214286395,0.8284845402,0.4765331391,0.1888620247,0.1904785167,0.1888620247,0.2655200175,0.2279992671,0.8399983586,0.7901890023,0.8143327336,1.920234132,1.855201575,1.276253093,0.5450662961
0.3626948775,1.217410482,0.8266108904,0.4766172646,0.1911915386,0.1913840025,0.1911915386,0.2657698851,0.2285769438,0.8393599359,0.7900330161,0.8139498344,1.937099007,1.870892328,1.283421707,0.691380511
0.3670378619,1.220546472,0.8247427154,0.4766924699,0.193519703,0.1923588862,0.193519703,0.2660895026,0.2292241944,0.8386736674,0.7898335765,0.8135212474,1.954084853,1.886740233,1.290872276,0.8556882543
0.3713808463,1.223694337,0.8228800195,0.4767588483,0.1958464476,0.1934024819,0.1958464476,0.2664903844,0.2299464332,0.8379402717,0.7895835707,0.8130435383,1.971192165,1.90275292,1.29862241,1.038983957
0.3757238307,1.22685405,0.821022807,0.4768164927,0.1981717022,0.1945141164,0.1981717022,0.2669853601,0.2307497383,0.8371604707,0.7892751025,0.8125128683,1.988421434,1.918938932,1.306691964,1.242002221
0.3800668151,1.230025581,0.8191710812,0.4768654956,0.2004953977,0.1956931545,0.2004953977,0.2675886293,0.2316408919,0.8363349712,0.7888994717,0.8119249747,2.005773153,1.935307784,1.315103197,1.465140189
0.3844097996,1.233208903,0.8173248452,0.4769059492,0.2028174654,0.1969390223,0.2028174654,0.2683158005,0.2326274114,0.8354644484,0.7884471672,0.8112751596,2.023247811,1.951870017,1.323880887,1.708375476
0.388752784,1.236403986,0.8154841015,0.4769379451,0.2051378373,0.198251229,0.2051378373,0.2691839054,0.2337175672,0.83454953,0.7879078798,0.8105582887,2.040845897,1.968637239,1.333052414,1.971182915
0.3930957684,1.239610803,0.8136488522,0.4769615748,0.207456446,0.1996293868,0.207456446,0.2702113863,0.2349203866,0.8335907831,0.7872705368,0.8097688004,2.058567898,1.985622145,1.342647782,2.252454435
0.3974387528,1.242829325,0.811819099,0.4769769292,0.2097732249,0.2010732287,0.2097732249,0.2714180505,0.2362456396,0.8325887016,0.7865233623,0.8089007297,2.076414299,2.002838522,1.352699586,2.550427393
0.4017817372,1.246059523,0.809994843,0.4769840986,0.2120881078,0.2025826238,0.2120881078,0.2728249878,0.2377038058,0.8315436962,0.7856539663,0.8079477459,2.094385586,2.020301221,1.363242914,2.862627443
0.4061247216,1.249301369,0.8081760849,0.4769831733,0.2144010293,0.2041575916,0.2144010293,0.2744544464,0.239306019,0.8304560856,0.7846494654,0.8069032061,2.112482241,2.038026106,1.374315166,3.18583254
0.410467706,1.252554834,0.8063628251,0.4769742427,0.2167119246,0.2057983125,0.2167119246,0.2763296661,0.2410639893,0.8293260902,0.7834966361,0.8057602256,2.130704746,2.056029971,1.385955801,3.516064629
0.4148106904,1.255819889,0.8045550633,0.476957396,0.2190207296,0.207505137,0.2190207296,0.2784746664,0.2429899017,0.8281538267,0.7821821005,0.8045117652,2.14905358,2.074330419,1.398206005,3.848614967
