gamma,alpha,z_tr
1.250000000000000000e+00,1.562500000000000000e+00,1.139289644822411240e+00
1.250000000000000000e+00,1.625000000000000000e+00,1.160230115057528710e+00
1.250000000000000000e+00,1.687500000000000000e+00,1.181170585292646402e+00
1.250000000000000000e+00,1.750000000000000000e+00,1.200615307653827069e+00
1.250000000000000000e+00,1.812500000000000000e+00,1.220060030015007513e+00
1.250000000000000000e+00,1.875000000000000000e+00,1.239504752376188179e+00
1.250000000000000000e+00,1.937500000000000000e+00,1.257453726863431820e+00
1.250000000000000000e+00,2.000000000000000000e+00,1.275402701350675461e+00
1.437500000000000000e+00,5.000000000000000000e-01,6.741120560280140506e-01
1.437500000000000000e+00,5.625000000000000000e-01,7.144972486243121867e-01
1.437500000000000000e+00,6.250000000000000000e-01,7.548824412206103229e-01
1.437500000000000000e+00,6.875000000000000000e-01,7.907803901950976044e-01
1.437500000000000000e+00,7.500000000000000000e-01,8.266783391695848859e-01
1.437500000000000000e+00,8.125000000000000000e-01,8.595847923961981163e-01
1.437500000000000000e+00,8.750000000000000000e-01,8.924912456228114577e-01
1.437500000000000000e+00,9.375000000000000000e-01,9.224062031015508589e-01
1.437500000000000000e+00,1.000000000000000000e+00,9.523211605802901492e-01
1.437500000000000000e+00,1.062500000000000000e+00,9.807403701850926359e-01
1.437500000000000000e+00,1.125000000000000000e+00,1.007663831915957875e+00
1.437500000000000000e+00,1.187500000000000000e+00,1.033091545772886422e+00
1.437500000000000000e+00,1.250000000000000000e+00,1.058519259629814968e+00
1.437500000000000000e+00,1.312500000000000000e+00,1.082451225612806489e+00
1.437500000000000000e+00,1.375000000000000000e+00,1.106383191595798010e+00
1.437500000000000000e+00,1.437500000000000000e+00,1.128819409704852506e+00
1.437500000000000000e+00,1.500000000000000000e+00,1.151255627813907001e+00
1.437500000000000000e+00,1.562500000000000000e+00,1.172196098049024471e+00
1.437500000000000000e+00,1.625000000000000000e+00,1.193136568284142163e+00
1.437500000000000000e+00,1.687500000000000000e+00,1.212581290645322829e+00
1.437500000000000000e+00,1.750000000000000000e+00,1.232026013006503273e+00
1.437500000000000000e+00,1.812500000000000000e+00,1.251470735367683940e+00
1.437500000000000000e+00,1.875000000000000000e+00,1.269419709854927580e+00
1.437500000000000000e+00,1.937500000000000000e+00,1.287368684342171221e+00
1.437500000000000000e+00,2.000000000000000000e+00,1.305317658829414862e+00
1.625000000000000000e+00,5.000000000000000000e-01,7.189844922461231524e-01
1.625000000000000000e+00,5.625000000000000000e-01,7.578739369684842631e-01
1.625000000000000000e+00,6.250000000000000000e-01,7.952676338169084591e-01
1.625000000000000000e+00,6.875000000000000000e-01,8.311655827913957406e-01
1.625000000000000000e+00,7.500000000000000000e-01,8.655677838919459965e-01
1.625000000000000000e+00,8.125000000000000000e-01,8.969784892446223123e-01
1.625000000000000000e+00,8.750000000000000000e-01,9.283891945972987392e-01
1.625000000000000000e+00,9.375000000000000000e-01,9.583041520760380294e-01
1.625000000000000000e+00,1.000000000000000000e+00,9.867233616808405161e-01
1.625000000000000000e+00,1.062500000000000000e+00,1.013646823411705977e+00
1.625000000000000000e+00,1.125000000000000000e+00,1.040570285142571327e+00
1.625000000000000000e+00,1.187500000000000000e+00,1.065997998999499874e+00
1.625000000000000000e+00,1.250000000000000000e+00,1.089929964982491395e+00
1.625000000000000000e+00,1.312500000000000000e+00,1.113861930965482694e+00
1.625000000000000000e+00,1.375000000000000000e+00,1.136298149074537411e+00
1.625000000000000000e+00,1.437500000000000000e+00,1.158734367183591907e+00
1.625000000000000000e+00,1.500000000000000000e+00,1.179674837418709377e+00
1.625000000000000000e+00,1.562500000000000000e+00,1.200615307653827069e+00
1.625000000000000000e+00,1.625000000000000000e+00,1.220060030015007513e+00
1.625000000000000000e+00,1.687500000000000000e+00,1.241000500250125205e+00
1.625000000000000000e+00,1.750000000000000000e+00,1.258949474737368845e+00
1.625000000000000000e+00,1.812500000000000000e+00,1.278394197098549290e+00
1.625000000000000000e+00,1.875000000000000000e+00,1.296343171585792931e+00
1.625000000000000000e+00,1.937500000000000000e+00,1.314292146073036571e+00
1.625000000000000000e+00,2.000000000000000000e+00,1.332241120560280212e+00
1.812500000000000000e+00,5.000000000000000000e-01,7.578739369684842631e-01
1.812500000000000000e+00,5.625000000000000000e-01,7.952676338169084591e-01
1.812500000000000000e+00,6.250000000000000000e-01,8.311655827913957406e-01
1.812500000000000000e+00,6.875000000000000000e-01,8.655677838919459965e-01
