case,t,energy,enstrophy,palinstrophy,equation_residual_defect,enstrophy_balance_defect,activity_pressure,low_mode_fraction,high_mode_fraction,H,B,S_eff,V,R_resp,R_rob,MAAT_warning
2d_navier_stokes_regular_control,1.36,0.12209329816146205,0.47409552345695694,5.815000883168043,0.0643671627165084,0.06338647480690643,1.2106321718170767,0.9761397431835824,0.02386025681641757,0.9395254147523411,0.9403918741599414,0.9776996206413773,0.9761397431835824,0.9518674263887977,0.9518674263887977,0.05422329119198388
2d_navier_stokes_regular_control,1.4000000000000001,0.12202063917332016,0.47321453508172895,5.875823696176064,0.06648972035396544,0.06290970765953842,1.2232949479176038,0.9746424031310387,0.02535759686896133,0.937655545023071,0.9408136860485904,0.9752367097222454,0.9746424031310387,0.9508910321439125,0.9508910321439125,0.05569314599362234
2d_navier_stokes_regular_control,1.44,0.12194810056376953,0.47232387683316135,5.937259899596803,0.068679872881262,0.062427087966764584,1.2360854265210954,0.9731457443829894,0.026854255617010603,0.9357339137527736,0.9412410614584052,0.9726509599182803,0.9731457443829894,0.9498981478398627,0.9498981478398627,0.05719878865413512
2d_navier_stokes_regular_control,1.48,0.12187568401002224,0.4714234616771616,5.999183112016823,0.07089406237699782,0.061939830817723425,1.2489772961259538,0.9716670983401907,0.028332901659809284,0.9337991825077089,0.9416729375617938,0.9699493977276314,0.9716670983401907,0.948907091085236,0.948907091085236,0.05871805111910231
2d_navier_stokes_regular_control,1.52,0.12180339121419226,0.4705132222614613,6.061468645192975,0.07310048533023158,0.061449183168869916,1.2619445977337824,0.9702228625749676,0.029777137425032407,0.9318791796951468,0.942108219457649,0.9671397890262357,0.9702228625749676,0.9479322567497568,0.9479322567497568,0.06023267410754936
2d_navier_stokes_regular_control,1.56,0.12173122389845789,0.4695931106001504,6.12399459664705,0.07528201383153285,0.06095640803522247,1.2749619523180065,0.9688277219065632,0.03117227809343681,0.9299885863771851,0.9425457939896822,0.9642304997059475,0.9688277219065632,0.9469830634493144,0.9469830634493144,0.06172974327848937
2d_navier_stokes_regular_control,1.6,0.12165918380035862,0.46866309760427133,6.186642771010886,0.07743305290655342,0.060462768030551006,1.2880047526398435,0.9674939966146654,0.0325060033853346,0.9281319125140397,0.9429845442449243,0.9612303566504159,0.9674939966146654,0.9460647322597331,0.9460647322597331,0.06320103015892749
2d_navier_stokes_regular_control,1.6400000000000001,0.12158727266825908,0.46772317248202455,6.249299459827487,0.07955403267842535,0.05996951309171104,1.301049325596053,0.9662311525153189,0.03376884748468112,0.926308428971315,0.9434233604353465,0.9581485116988232,0.9662311525153189,0.9451797875252417,0.9451797875252417,0.06464144200923248
2d_navier_stokes_regular_control,1.68,0.12151549225701021,0.46677334202427695,6.311856142255559,0.08164716480234543,0.05947787352200185,1.3140730780994763,0.965045492652988,0.034954507347012,0.9245158981050303,0.9438611461282521,0.9549943087922411,0.965045492652988,0.9443292163203648,0.9443292163203648,0.0660477996874736
2d_navier_stokes_regular_control,1.72,0.1214438443238352,0.46581362978217267,6.37421015031955,0.08371328914781381,0.05898905562976966,1.3270546355782573,0.9639400347059692,0.03605996529403077,0.9227532872521639,0.9442968222228798,0.9517771544217952,0.9639400347059692,0.9435133490428086,0.9435133490428086,0.0674178844801708
2d_navier_stokes_regular_control,1.76,0.12137233062446655,0.4648440751396981,6.436265301624429,0.08574609520604735,0.0585042363074733,1.3399739737015104,0.9629145634161757,0.03708543658382435,0.9210256471705064,0.94472933191882,0.9485063928971902,0.9629145634161757,0.9427335423773439,0.9427335423773439,0.0687484698910873
2d_navier_stokes_regular_control,1.8,0.12130095290955528,0.4638647322848919,6.497932485887451,0.0877213993901036,0.05802455537248953,1.352812540490087,0.9619658348786826,0.03803416512131741,0.9193530627977993,0.9451576477333634,0.9451911885144196,0.9619658348786826,0.9419953145920565,0.9419953145920565,0.07003151696295061
2d_navier_stokes_regular_control,1.84,0.12122971292137276,0.4628756690841715,6.559130211019035,0.08958587954157415,0.05755110728980698,1.3655533700058258,0.9610879005086581,0.03891209949134189,0.9177798820417294,0.9455807791291585,0.9418404154375165,0.9610879005086581,0.9413116341137067,0.9413116341137067,0.07125004789756857
2d_navier_stokes_regular_control,1.8800000000000001,0.12115861239082287,0.4618769658629283,6.619785125000278,0.09125606190956653,0.0570849332841631,1.3781811910018709,0.9602725136458085,0.039727486354191544,0.9163752073460381,0.9459977798502802,0.9384625551754935,0.9602725136458085,0.940703259093852,0.9401425820521291,0.07306184974999283
2d_navier_stokes_regular_control,1.92,0.12108765303478622,0.4608687140986356,6.679832470386415,0.09263709159073157,0.05662701051557531,1.3906825215463068,0.9595095812271497,0.04049041877285031,0.9152169624263218,0.9464077579391573,0.9350656045446378,0.9595095812271497,0.9401934530318881,0.9389088605867749,0.07496012616716095
2d_navier_stokes_regular_control,1.96,0.12101683655381532,0.45985101505146553,6.739216298937007,0.09366014352637807,0.056178231609758364,1.403045713706279,0.9587876263913678,0.04121237360863217,0.9143608331337907,0.9468098944586889,0.9316570045453024,0.9587876263913678,0.9397974761163925,0.937755714094028,0.07676702670794965
2d_navier_stokes_regular_control,2.0,0.12094616463018626,0.4588239783945694,6.797889173616908,0.094323662762443,0.055739371196686316,1.415260891507212,0.9580942344596459,0.04190576554035408,0.9138064304263163,0.9472034739658279,0.9282436072464848,0.9580942344596459,0.9395110799826553,0.9366814540161946,0.07848336721495856
2d_navier_stokes_regular_control,2.04,0.12087563892628952,0.45778772094506603,6.855811151250003,0.09471636826213793,0.05531104685854979,1.4273197391302395,0.9574164633513549,0.042583536648645115,0.9134786224010698,0.9475879201461979,0.9248316949602456,0.9574164633513549,0.9393042017340162,0.9356649800219108,0.08013439064861912
2d_navier_stokes_regular_control,2.08,0.12080526108331052,0.4567423656062507,6.912948116858253,0.09500465650803917,0.054893692652384064,1.4392151541362075,0.9567412088676895,0.04325879113231046,0.9132381255701613,0.9479628202967435,0.921427049726945,0.9567412088676895,0.9391247211590334,0.9346686885045588,0.08176666623317758
2d_navier_stokes_regular_control,2.12,0.12073503272013508,0.4556880405885605,6.969269898424819,0.09538295365968855,0.054487563745127476,1.4509408549758935,0.9560555241245025,0.043944475875497546,0.9129227332404499,0.9483279219039731,0.9180350482929223,0.9560555241245025,0.9389127247814412,0.9336492102027945,0.0834350157176942
2d_navier_stokes_regular_control,2.16,0.12066495543242116,0.4546248788903221,7.024748780800495,0.09600588546668709,0.054092776646417734,1.4624910715983641,0.9553468995644392,0.04465310043556081,0.912403859559744,0.9486830971192942,0.9146607435775437,0.9553468995644392,0.9386199735991646,0.9325719611011898,0.08518423703730015
2d_navier_stokes_regular_control,2.2,0.1205950307918039,0.45355301793271174,7.079358883728448,0.09693368115201748,0.05370936901139622,1.473860415961181,0.9546035145163814,0.04539648548361863,0.9116321407414384,0.949028289402241,0.9113089004349488,0.9546035145163814,0.9382255852702426,0.9314227833361883,0.08703402483763902
2d_navier_stokes_regular_control,2.24,0.12052526034523761,0.4524725992079786,7.133076430878749,0.0981158348398396,0.05333735099715751,1.4850439380410305,0.953814472699705,0.046185527300295015,0.9106507421831779,0.9493634675095638,0.9079839795350281,0.953814472699705,0.9377406799546605,0.9302113062184434,0.0889740642706265
2d_navier_stokes_regular_control,2.2800000000000002,0.12045564561449776,0.45138376783711737,7.185880493700562,0.09941533808095143,0.05297672653174232,1.4960372806972246,0.9529700324169937,0.04702996758300626,0.9095743577177278,0.9496886064080114,0.9046900918554601,0.9529700324169937,0.9372013236976025,0.9289655920904325,0.09097018647244934
2d_navier_stokes_regular_control,2.32,0.12038618809586404,0.4502866720160371,7.237753641004318,0.10065517711328034,0.0526274833508512,1.5068368149090097,0.9520618379867528,0.04793816201324719,0.9085497627174465,0.9500036962902385,0.9014309582552732,0.9520618379867528,0.936655146961071,0.9277221167624946,0.09297671381126882
2d_navier_stokes_regular_control,2.36,0.12031688925998558,0.4491814624017479,7.288682142488293,0.1016656920865215,0.0522895697352292,1.5174396821480156,0.9510831531679627,0.04891684683203734,0.9077163854544932,0.9503087636339624,0.8982098970383503,0.9510831531679627,0.9361478971967473,0.9265157547802378,0.09494913596003646
2d_navier_stokes_regular_control,2.4,0.12024775055190998,0.44806829150890604,7.3386557647662265,0.10232220998367905,0.05196287940395173,1.5278437519129957,0.9500290910170623,0.049970908982937656,0.9071757703356135,0.9506038849646538,0.8950298384161722,0.9500290910170623,0.9357129579325527,0.9253720146033334,0.09685419939927331
2d_navier_stokes_regular_control,2.44,0.1201787733912475,0.44694731315347946,7.387667449228056,0.10257233379933538,0.05164725272507304,1.5380475546632564,0.9488968288433546,0.05110317115664542,0.9069699731664016,0.9508891859021715,0.8918933481943145,0.9488968288433546,0.9353638995792194,0.9243015566357168,0.09867728163916091
