k_hMpc,t,delta_lambda_a
1.000000000000000056e-01,1.701701701701701652e-01,1.795932069220056420e-03
1.000000000000000056e-01,1.801801801801801717e-01,1.902633768791123356e-03
1.000000000000000056e-01,1.901901901901901781e-01,2.009520801397619589e-03
1.000000000000000056e-01,2.002002002002001846e-01,2.116603930478434641e-03
1.000000000000000056e-01,2.102102102102102188e-01,2.223893938588115439e-03
1.000000000000000056e-01,2.202202202202202252e-01,2.331401628482634731e-03
1.000000000000000056e-01,2.302302302302302317e-01,2.439137824207131440e-03
1.000000000000000056e-01,2.402402402402402382e-01,2.547113372185731174e-03
1.000000000000000056e-01,2.502502502502502724e-01,2.655339142313555521e-03
1.000000000000000056e-01,2.602602602602602788e-01,2.763826029051032022e-03
1.000000000000000056e-01,2.702702702702702853e-01,2.872584952520614108e-03
1.000000000000000056e-01,2.802802802802802917e-01,2.981626859606021588e-03
1.000000000000000056e-01,2.902902902902902982e-01,3.090962725054111418e-03
1.000000000000000056e-01,3.003003003003003046e-01,3.200603552579492361e-03
1.000000000000000056e-01,3.103103103103103111e-01,3.310560375971989804e-03
1.000000000000000056e-01,3.203203203203203175e-01,3.420844260207078248e-03
1.000000000000000056e-01,3.303303303303303240e-01,3.531466302559389033e-03
1.000000000000000056e-01,3.403403403403403304e-01,3.642437633719405182e-03
1.000000000000000056e-01,3.503503503503503369e-01,3.753769418913460460e-03
1.000000000000000056e-01,3.603603603603603434e-01,3.865472859027147164e-03
1.000000000000000056e-01,3.703703703703703498e-01,3.977559191732256243e-03
1.000000000000000056e-01,3.803803803803803563e-01,4.090039692617351667e-03
1.000000000000000056e-01,3.903903903903903627e-01,4.202925676322103073e-03
1.000000000000000056e-01,4.004004004004003692e-01,4.316228497675482501e-03
1.000000000000000056e-01,4.104104104104104311e-01,4.429959552837948837e-03
1.000000000000000056e-01,4.204204204204204376e-01,4.544130280447720993e-03
1.000000000000000056e-01,4.304304304304304440e-01,4.658752162771273402e-03
1.000000000000000056e-01,4.404404404404404505e-01,4.773836726858151844e-03
1.000000000000000056e-01,4.504504504504504570e-01,4.889395545700238842e-03
1.000000000000000056e-01,4.604604604604604634e-01,5.005440239395575301e-03
1.000000000000000056e-01,4.704704704704704699e-01,5.121982476316866775e-03
1.000000000000000056e-01,4.804804804804804763e-01,5.239033974284777566e-03
1.000000000000000056e-01,4.904904904904904828e-01,5.356606501746145367e-03
1.000000000000000056e-01,5.005005005005005447e-01,5.474711878957222271e-03
1.000000000000000056e-01,5.105105105105105512e-01,5.593361979172070501e-03
1.000000000000000056e-01,5.205205205205205576e-01,5.712568729836226510e-03
1.000000000000000056e-01,5.305305305305305641e-01,5.832344113785757449e-03
1.000000000000000056e-01,5.405405405405405705e-01,5.952700170451826270e-03
1.000000000000000056e-01,5.505505505505505770e-01,6.073648997070891196e-03
1.000000000000000056e-01,5.605605605605605835e-01,6.195202749900656676e-03
1.000000000000000056e-01,5.705705705705705899e-01,6.317373645441902441e-03
1.000000000000000056e-01,5.805805805805805964e-01,6.440173961666309510e-03
1.000000000000000056e-01,5.905905905905906028e-01,6.563616039250411496e-03
1.000000000000000056e-01,6.006006006006006093e-01,6.687712282815785718e-03
1.000000000000000056e-01,6.106106106106106157e-01,6.812475162175623752e-03
1.000000000000000056e-01,6.206206206206206222e-01,6.937917213587791593e-03
1.000000000000000056e-01,6.306306306306306286e-01,7.064051041014513845e-03
1.000000000000000056e-01,6.406406406406406351e-01,7.190889317388805997e-03
1.000000000000000056e-01,6.506506506506506415e-01,7.318444785887784874e-03
1.000000000000000056e-01,6.606606606606606480e-01,7.446730261212979561e-03
1.000000000000000056e-01,6.706706706706706544e-01,7.575758630877777247e-03
1.000000000000000056e-01,6.806806806806806609e-01,7.705542856502131492e-03
1.000000000000000056e-01,6.906906906906906674e-01,7.836095975114656942e-03
1.000000000000000056e-01,7.007007007007006738e-01,7.967431100462253613e-03
1.000000000000000056e-01,7.107107107107106803e-01,8.099561424327382173e-03
1.000000000000000056e-01,7.207207207207206867e-01,8.232500217853126398e-03
1.000000000000000056e-01,7.307307307307306932e-01,8.366260832876172907e-03
1.000000000000000056e-01,7.407407407407406996e-01,8.500856703267847814e-03
1.000000000000000056e-01,7.507507507507507061e-01,8.636301346283339550e-03
1.000000000000000056e-01,7.607607607607607125e-01,8.772608363919248350e-03
1.000000000000000056e-01,7.707707707707707190e-01,8.909791444279590786e-03
1.000000000000000056e-01,7.807807807807807254e-01,9.047864362950406789e-03
1.000000000000000056e-01,7.907907907907907319e-01,9.186840984383097541e-03
1.000000000000000056e-01,8.008008008008007383e-01,9.326735263286641681e-03
1.000000000000000056e-01,8.108108108108108558e-01,9.467561246028819918e-03
1.000000000000000056e-01,8.208208208208208623e-01,9.609333072046604210e-03
1.000000000000000056e-01,8.308308308308308687e-01,9.752064975265831159e-03
1.000000000000000056e-01,8.408408408408408752e-01,9.895771285530324465e-03
1.000000000000000056e-01,8.508508508508508816e-01,1.004046643004059478e-02
1.000000000000000056e-01,8.608608608608608881e-01,1.018616493480226440e-02
1.000000000000000056e-01,8.708708708708708945e-01,1.033288142608436953e-02
1.000000000000000056e-01,8.808808808808809010e-01,1.048063063188767879e-02
1.000000000000000056e-01,8.908908908908909074e-01,1.062942738342317894e-02
1.000000000000000056e-01,9.009009009009009139e-01,1.077928661660087009e-02
1.000000000000000056e-01,9.109109109109109204e-01,1.093022337352903516e-02
1.000000000000000056e-01,9.209209209209209268e-01,1.108225280402411021e-02
1.000000000000000056e-01,9.309309309309309333e-01,1.123539016713133269e-02
1.000000000000000056e-01,9.409409409409409397e-01,1.138965083265630097e-02
1.000000000000000056e-01,9.509509509509509462e-01,1.154505028270761367e-02
1.000000000000000056e-01,9.609609609609609526e-01,1.170160411325072390e-02
1.000000000000000056e-01,9.709709709709709591e-01,1.185932803567319067e-02
1.000000000000000056e-01,9.809809809809809655e-01,1.201823787836146101e-02
1.000000000000000056e-01,9.909909909909909720e-01,1.217834958828935450e-02
1.000000000000000056e-01,1.001001001001001089e+00,1.233967923261840467e-02
1.000000000000000056e-01,1.011011011011011096e+00,1.250224300031021855e-02
1.000000000000000056e-01,1.021021021021021102e+00,1.266605720375102093e-02
1.000000000000000056e-01,1.031031031031031109e+00,1.283113828038853245e-02
1.000000000000000056e-01,1.041041041041041115e+00,1.299750279438136383e-02
1.000000000000000056e-01,1.051051051051051122e+00,1.316516743826108386e-02
1.000000000000000056e-01,1.061061061061061128e+00,1.333414903460711579e-02
1.000000000000000056e-01,1.071071071071071135e+00,1.350446453773465789e-02
1.000000000000000056e-01,1.081081081081081141e+00,1.367613103539576901e-02
1.000000000000000056e-01,1.091091091091091148e+00,1.384916575049380781e-02
1.000000000000000056e-01,1.101101101101101154e+00,1.402358604281138919e-02
1.000000000000000056e-01,1.111111111111111160e+00,1.419940941075203619e-02
1.000000000000000056e-01,1.121121121121121167e+00,1.437665349309569934e-02
1.000000000000000056e-01,1.131131131131131173e+00,1.455533607076832207e-02
1.000000000000000056e-01,1.141141141141141180e+00,1.473547506862562216e-02
1.000000000000000056e-01,1.151151151151151186e+00,1.491708855725128006e-02
1.000000000000000056e-01,1.161161161161161193e+00,1.510019475476970761e-02
1.000000000000000056e-01,1.171171171171171199e+00,1.528481202867357225e-02
1.000000000000000056e-01,1.181181181181181206e+00,1.547095889766628152e-02
1.000000000000000056e-01,1.191191191191191212e+00,1.565865403351958396e-02
1.000000000000000056e-01,1.201201201201201219e+00,1.584791626294650146e-02
1.000000000000000056e-01,1.211211211211211225e+00,1.603876456948974752e-02
1.000000000000000056e-01,1.221221221221221231e+00,1.623121809542586377e-02
1.000000000000000056e-01,1.231231231231231238e+00,1.642529614368522586e-02
1.000000000000000056e-01,1.241241241241241244e+00,1.662101817978813359e-02
1.000000000000000056e-01,1.251251251251251251e+00,1.681840383379716933e-02
1.000000000000000056e-01,1.261261261261261257e+00,1.701747290228603632e-02
1.000000000000000056e-01,1.271271271271271264e+00,1.721824535032504336e-02
1.000000000000000056e-01,1.281281281281281270e+00,1.742074131348347876e-02
1.000000000000000056e-01,1.291291291291291277e+00,1.762498109984901931e-02
1.000000000000000056e-01,1.301301301301301283e+00,1.783098519206444479e-02
1.000000000000000056e-01,1.311311311311311290e+00,1.803877424938179000e-02
1.000000000000000056e-01,1.321321321321321296e+00,1.824836910973419782e-02
1.000000000000000056e-01,1.331331331331331302e+00,1.845979079182565388e-02
1.000000000000000056e-01,1.341341341341341309e+00,1.867306049723880396e-02
1.000000000000000056e-01,1.351351351351351315e+00,1.888819961256110389e-02
1.000000000000000056e-01,1.361361361361361322e+00,1.910522971152946517e-02
1.000000000000000056e-01,1.371371371371371328e+00,1.932417255719364943e-02
1.000000000000000056e-01,1.381381381381381335e+00,1.954505010409861646e-02
1.000000000000000056e-01,1.391391391391391341e+00,1.976788450048603749e-02
1.000000000000000056e-01,1.401401401401401348e+00,1.999269809051519575e-02
1.000000000000000056e-01,1.411411411411411354e+00,2.021951341650352063e-02
1.000000000000000056e-01,1.421421421421421361e+00,2.044835322118694620e-02
1.000000000000000056e-01,1.431431431431431367e+00,2.067924045000033365e-02
1.000000000000000056e-01,1.441441441441441373e+00,2.091219825337820373e-02
1.000000000000000056e-01,1.451451451451451380e+00,2.114724998907597728e-02
1.000000000000000056e-01,1.461461461461461386e+00,2.138441922451198712e-02
1.000000000000000056e-01,1.471471471471471393e+00,2.162372973913047683e-02
1.000000000000000056e-01,1.481481481481481399e+00,2.186520552678582890e-02
1.000000000000000056e-01,1.491491491491491406e+00,2.210887079814826892e-02
1.000000000000000056e-01,1.501501501501501412e+00,2.235474998313126752e-02
1.000000000000000056e-01,1.511511511511511419e+00,2.260286773334090754e-02
1.000000000000000056e-01,1.521521521521521425e+00,2.285324892454744863e-02
1.000000000000000056e-01,1.531531531531531432e+00,2.310591865917933224e-02
1.000000000000000056e-01,1.541541541541541438e+00,2.336090226883989415e-02
1.000000000000000056e-01,1.551551551551551444e+00,2.361822531684701354e-02
1.000000000000000056e-01,1.561561561561561451e+00,2.387791360079597608e-02
1.000000000000000056e-01,1.571571571571571457e+00,2.413999315514579400e-02
1.000000000000000056e-01,1.581581581581581464e+00,2.440449025382925019e-02
1.000000000000000056e-01,1.591591591591591470e+00,2.467143141288691624e-02
1.000000000000000056e-01,1.601601601601601477e+00,2.494084339312542531e-02
1.000000000000000056e-01,1.611611611611611705e+00,2.521275320280025323e-02
1.000000000000000056e-01,1.621621621621621712e+00,2.548718810032327836e-02
1.000000000000000056e-01,1.631631631631631718e+00,2.576417559699540130e-02
1.000000000000000056e-01,1.641641641641641725e+00,2.604374345976448804e-02
1.000000000000000056e-01,1.651651651651651731e+00,2.632591971400891073e-02
1.000000000000000056e-01,1.661661661661661737e+00,2.661073264634698093e-02
1.000000000000000056e-01,1.671671671671671744e+00,2.689821080747254248e-02
1.000000000000000056e-01,1.681681681681681750e+00,2.718838301501700846e-02
1.000000000000000056e-01,1.691691691691691757e+00,2.748127835643813729e-02
1.000000000000000056e-01,1.701701701701701763e+00,2.777692619193583914e-02
1.000000000000000056e-01,1.711711711711711770e+00,2.807535615739528354e-02
1.000000000000000056e-01,1.721721721721721776e+00,2.837659816735763410e-02
1.000000000000000056e-01,1.731731731731731783e+00,2.868068241801868812e-02
1.000000000000000056e-01,1.741741741741741789e+00,2.898763939025572958e-02
1.000000000000000056e-01,1.751751751751751796e+00,2.929749985268288726e-02
1.000000000000000056e-01,1.761761761761761802e+00,2.961029486473531688e-02
1.000000000000000056e-01,1.771771771771771808e+00,2.992605577978251982e-02
1.000000000000000056e-01,1.781781781781781815e+00,3.024481424827109299e-02
1.000000000000000056e-01,1.791791791791791821e+00,3.056660222089723974e-02
1.000000000000000056e-01,1.801801801801801828e+00,3.089145195180936082e-02
1.000000000000000056e-01,1.811811811811811834e+00,3.121939600184102381e-02
1.000000000000000056e-01,1.821821821821821841e+00,3.155046724177467538e-02
1.000000000000000056e-01,1.831831831831831847e+00,3.188469885563637030e-02
1.000000000000000056e-01,1.841841841841841854e+00,3.222212434402191295e-02
1.000000000000000056e-01,1.851851851851851860e+00,3.256277752745467824e-02
1.000000000000000056e-01,1.861861861861861867e+00,3.290669254977549724e-02
1.000000000000000056e-01,1.871871871871871873e+00,3.325390388156491961e-02
1.000000000000000056e-01,1.881881881881881879e+00,3.360444632359820688e-02
1.000000000000000056e-01,1.891891891891891886e+00,3.395835501033341725e-02
1.000000000000000056e-01,1.901901901901901892e+00,3.431566541343288729e-02
1.000000000000000056e-01,1.911911911911911899e+00,3.467641334531851305e-02
1.000000000000000056e-01,1.921921921921921905e+00,3.504063496276117046e-02
1.000000000000000056e-01,1.931931931931931912e+00,3.540836677050460124e-02
1.000000000000000056e-01,1.941941941941941918e+00,3.577964562492418760e-02
1.000000000000000056e-01,1.951951951951951925e+00,3.615450873772093482e-02
1.000000000000000056e-01,1.961961961961961931e+00,3.653299367965105043e-02
1.000000000000000056e-01,1.971971971971971938e+00,3.691513838429150846e-02
1.000000000000000056e-01,1.981981981981981944e+00,3.730098115184193180e-02
1.000000000000000056e-01,1.991991991991991950e+00,3.769056065296320923e-02
1.000000000000000056e-01,2.002002002002002179e+00,3.808391593265324226e-02
1.000000000000000056e-01,2.012012012012012185e+00,3.848108641416017606e-02
1.000000000000000056e-01,2.022022022022022192e+00,3.888211190293352354e-02
1.000000000000000056e-01,2.032032032032032198e+00,3.928703259061358533e-02
1.000000000000000056e-01,2.042042042042042205e+00,3.969588905905955395e-02
1.000000000000000056e-01,2.052052052052052211e+00,4.010872228441669102e-02
1.000000000000000056e-01,2.062062062062062218e+00,4.052557364122304218e-02
1.000000000000000056e-01,2.072072072072072224e+00,4.094648490655604378e-02
1.000000000000000056e-01,2.082082082082082231e+00,4.137149826421943066e-02
1.000000000000000056e-01,2.092092092092092237e+00,4.180065630897093765e-02
1.000000000000000056e-01,2.102102102102102243e+00,4.223400205079113484e-02
