z,a,D_LCDM,D_MAAT,fsigma8_LCDM,fsigma8_MAAT,dD_pct,dfsigma8_pct
3.113764344100276560e+01,3.111615827824362052e-02,1.109003743101992928e-01,1.108320574583054191e-01,6.268936797370155967e-02,6.265076491294217786e-02,-6.160200298583729667e-02,-6.157832182257115539e-02
3.084241601504652763e+01,3.140465219496752641e-02,1.116158993749319372e-01,1.115471419173686835e-01,6.306786103931050214e-02,6.302902538132627852e-02,-6.160184879421953114e-02,-6.157757270381686299e-02
3.054990064958084872e+01,3.169582088726118768e-02,1.123357474247719118e-01,1.122665467049869387e-01,6.344914769729799453e-02,6.341007773835627415e-02,-6.160169079866129049e-02,-6.157680656029394795e-02
3.026007243068703545e+01,3.198968915434537846e-02,1.130599503045183751e-01,1.129903036465406130e-01,6.383323775136232059e-02,6.379393178219706917e-02,-6.160152891468126390e-02,-6.157602300912985022e-02
2.997290667331407121e+01,3.228628202536733272e-02,1.137885399717697421e-01,1.137184446801457333e-01,6.422014122034122585e-02,6.418059752603089141e-02,-6.160136305589215822e-02,-6.157522166551898657e-02
2.968837891917642580e+01,3.258562476153226140e-02,1.145215484993607480e-01,1.144510018590895878e-01,6.460986833631632287e-02,6.457008519616974640e-02,-6.160119313401878072e-02,-6.157440213233635051e-02
2.940646493467065881e+01,3.288774285825513122e-02,1.152590080777783493e-01,1.151880073542454475e-01,6.500242954278341589e-02,6.496240523022193958e-02,-6.160101905873562739e-02,-6.157356400830070464e-02
2.912714070881164474e+01,3.319266204733189313e-02,1.160009510175569747e-01,1.159294934564663176e-01,6.539783549284419739e-02,6.535756827529175250e-02,-6.160084073779861086e-02,-6.157270687781540852e-02
2.885038245118730060e+01,3.350040829913135398e-02,1.167474097516535136e-01,1.166754925789588310e-01,6.579609704746644527e-02,6.575558518623925153e-02,-6.160065807683934302e-02,-6.157183031383729049e-02
2.857616658993253722e+01,3.381100782480685185e-02,1.174984168378026689e-01,1.174260372596372948e-01,6.619722527376448173e-02,6.615646702395812373e-02,-6.160047097935662103e-02,-6.157093388400896455e-02
2.830446976972142181e+01,3.412448707852892144e-02,1.182540049608531707e-01,1.181811601634586012e-01,6.660123144334262335e-02,6.656022505372242992e-02,-6.160027934671985506e-02,-6.157001714762193323e-02
2.803526884977813083e+01,3.444087275973824191e-02,1.190142069350851733e-01,1.189408940847384161e-01,6.700812703066762188e-02,6.696687074356459657e-02,-6.160008307810248274e-02,-6.156907964931408739e-02
2.776854090190591862e+01,3.476019181541980391e-02,1.197790557065094158e-01,1.197052719494491740e-01,6.741792371146772267e-02,6.737641576267175414e-02,-6.159988207039435865e-02,-6.156812092524894392e-02
2.750426320853434348e+01,3.508247144239792781e-02,1.205485843551485775e-01,1.204743268175002130e-01,6.783063336120401243e-02,6.778887197986056823e-02,-6.159967621817452610e-02,-6.156714049987005444e-02
2.724241326078433545e+01,3.540773908965272332e-02,1.213228260973011619e-01,1.212480918850005057e-01,6.824626805355386849e-02,6.820425146205708056e-02,-6.159946541363876815e-02,-6.156613789316198876e-02
2.698296875655115556e+01,3.573602246065788607e-02,1.221018142877885598e-01,1.220266004865044329e-01,6.866484005892961595e-02,6.862256647282298505e-02,-6.159924954665400854e-02,-6.156511261127356471e-02
