family,instance_id,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,structure_gate,runtime_s,compute_cost
planted_3sat,25,random,22,94,4.2727272727272725,1,1,0,13,8,0,0,13,0.5603815716205902,0.002067208057269454,3.932
random_3sat,26,vsids,22,94,4.2727272727272725,1,1,0,4,16,0,0,4,0.6065555412506787,0.0007882909849286079,1.264
random_3sat,26,progress_only,22,94,4.2727272727272725,1,1,0,4,16,0,0,4,0.6065555412506787,0.0007870419649407268,1.264
random_3sat,26,maat_only,22,94,4.2727272727272725,1,1,0,6,26,1,1,5,0.6065555412506787,0.001250582979992032,2.904
random_3sat,26,mode_a,22,94,4.2727272727272725,1,1,0,4,16,0,0,4,0.6065555412506787,0.0009085830533877015,1.264
random_3sat,26,mode_a_gated,22,94,4.2727272727272725,1,1,0,6,14,0,0,6,0.6065555412506787,0.0011950000189244747,1.8559999999999999
random_3sat,26,random,22,94,4.2727272727272725,1,1,0,8,13,0,0,8,0.6065555412506787,0.00122637499589473,2.452
planted_3sat,27,vsids,22,94,4.2727272727272725,1,1,0,9,55,4,4,4,0.5629397121333505,0.00200074992608279,6.919999999999999
planted_3sat,27,progress_only,22,94,4.2727272727272725,1,1,0,8,18,1,1,7,0.5629397121333505,0.001203250023536384,3.472
planted_3sat,27,maat_only,22,94,4.2727272727272725,1,1,0,6,17,1,1,5,0.5629397121333505,0.0012596659362316132,2.868
planted_3sat,27,mode_a,22,94,4.2727272727272725,1,1,0,11,84,6,6,5,0.5629397121333505,0.002679166034795344,9.636000000000001
planted_3sat,27,mode_a_gated,22,94,4.2727272727272725,1,1,0,7,19,1,1,6,0.5629397121333505,0.001193749951198697,3.176
planted_3sat,27,random,22,94,4.2727272727272725,1,1,0,9,42,4,4,5,0.5629397121333505,0.0019052500138059258,6.867999999999999
random_3sat,28,vsids,22,94,4.2727272727272725,1,1,0,7,14,0,0,7,0.6253008253214554,0.0009193329606205225,2.156
random_3sat,28,progress_only,22,94,4.2727272727272725,1,1,0,6,15,0,0,6,0.6253008253214554,0.0008510829648002982,1.8599999999999999
random_3sat,28,maat_only,22,94,4.2727272727272725,1,1,0,15,106,8,8,7,0.6253008253214554,0.0035642499569803476,12.924
random_3sat,28,mode_a,22,94,4.2727272727272725,1,1,0,11,85,6,6,6,0.6253008253214554,0.0026826250832527876,9.64
random_3sat,28,mode_a_gated,22,94,4.2727272727272725,1,1,0,14,140,10,10,5,0.6253008253214554,0.003657374996691942,14.76
random_3sat,28,random,22,94,4.2727272727272725,1,1,0,6,15,0,0,6,0.6253008253214554,0.0011929579777643085,1.8599999999999999
planted_3sat,29,vsids,22,94,4.2727272727272725,1,1,0,9,70,5,5,5,0.5415653941135905,0.0018757910002022982,7.9799999999999995
planted_3sat,29,progress_only,22,94,4.2727272727272725,1,1,0,9,70,5,5,5,0.5415653941135905,0.001999916974455118,7.9799999999999995
planted_3sat,29,maat_only,22,94,4.2727272727272725,1,1,0,8,79,5,5,4,0.5415653941135905,0.002197750029154122,7.716
planted_3sat,29,mode_a,22,94,4.2727272727272725,1,1,0,11,30,2,2,8,0.5415653941135905,0.0020527499727904797,5.42
planted_3sat,29,mode_a_gated,22,94,4.2727272727272725,1,1,0,8,12,0,0,8,0.5415653941135905,0.0012522080214694142,2.448
planted_3sat,29,random,22,94,4.2727272727272725,1,1,0,15,51,4,4,9,0.5415653941135905,0.0027610419783741236,8.704
random_3sat,30,vsids,22,101,4.590909090909091,1,0,0,13,84,10,9,9,0.48105718771270223,0.0029544999124482274,14.236
random_3sat,30,progress_only,22,101,4.590909090909091,1,0,0,11,81,10,9,9,0.48105718771270223,0.002659916994161904,13.624
random_3sat,30,maat_only,22,101,4.590909090909091,1,0,0,20,194,19,18,7,0.48105718771270223,0.005694791907444596,25.776
random_3sat,30,mode_a,22,101,4.590909090909091,1,0,0,13,110,11,10,6,0.48105718771270223,0.00341316603589803,15.34
random_3sat,30,mode_a_gated,22,101,4.590909090909091,1,0,0,15,155,14,13,5,0.48105718771270223,0.004586125025525689,19.12
random_3sat,30,random,22,101,4.590909090909091,1,0,0,45,445,44,43,8,0.48105718771270223,0.013003709027543664,59.28
planted_3sat,31,vsids,22,101,4.590909090909091,1,1,0,7,56,4,4,3,0.5478778813877961,0.0017139579867944121,6.324
planted_3sat,31,progress_only,22,101,4.590909090909091,1,1,0,7,68,5,5,3,0.5478778813877961,0.001882457989268005,7.372
planted_3sat,31,maat_only,22,101,4.590909090909091,1,1,0,13,87,8,8,5,0.5478778813877961,0.003122249967418611,12.248000000000001
planted_3sat,31,mode_a,22,101,4.590909090909091,1,1,0,5,31,1,1,4,0.5478778813877961,0.001276249997317791,2.624
planted_3sat,31,mode_a_gated,22,101,4.590909090909091,1,1,0,7,58,4,4,3,0.5478778813877961,0.001720125088468194,6.332
planted_3sat,31,random,22,101,4.590909090909091,1,1,0,6,28,1,1,4,0.5478778813877961,0.001182542066089809,2.912
random_3sat,32,vsids,22,101,4.590909090909091,1,1,0,9,101,9,9,3,0.7028308181682735,0.0026505000423640013,12.104
random_3sat,32,progress_only,22,101,4.590909090909091,1,1,0,9,102,9,9,3,0.7028308181682735,0.0027406250592321157,12.107999999999999
random_3sat,32,maat_only,22,101,4.590909090909091,1,1,0,8,44,3,3,7,0.7028308181682735,0.001821833080612123,5.5760000000000005
random_3sat,32,mode_a,22,101,4.590909090909091,1,1,0,6,57,3,3,3,0.7028308181682735,0.0017332909628748894,5.028
random_3sat,32,mode_a_gated,22,101,4.590909090909091,1,1,0,6,58,3,3,4,0.7028308181682735,0.0016800840385258198,5.032
random_3sat,32,random,22,101,4.590909090909091,1,1,0,8,34,3,3,6,0.7028308181682735,0.0015920000150799751,5.5360000000000005
planted_3sat,33,vsids,22,101,4.590909090909091,1,1,0,17,176,11,11,5,0.45835793732659547,0.004363292013294995,16.804000000000002
planted_3sat,33,progress_only,22,101,4.590909090909091,1,1,0,17,140,9,9,5,0.45835793732659547,0.003966459073126316,14.66
planted_3sat,33,maat_only,22,101,4.590909090909091,1,1,0,10,112,7,7,5,0.45835793732659547,0.0027822089614346623,10.448
planted_3sat,33,mode_a,22,101,4.590909090909091,1,1,0,10,49,5,5,4,0.45835793732659547,0.002245292067527771,8.196
planted_3sat,33,mode_a_gated,22,101,4.590909090909091,1,1,0,7,54,3,3,3,0.45835793732659547,0.001892582979053259,5.316
planted_3sat,33,random,22,101,4.590909090909091,1,1,0,16,124,10,10,8,0.45835793732659547,0.003911000094376504,15.296000000000001
random_3sat,34,vsids,22,101,4.590909090909091,1,0,0,10,132,11,10,3,0.4998460969066812,0.0030032090144231915,14.528
random_3sat,34,progress_only,22,101,4.590909090909091,1,0,0,11,139,11,10,4,0.4998460969066812,0.0028930410044267774,14.856000000000002
random_3sat,34,maat_only,22,101,4.590909090909091,1,0,0,16,168,13,12,5,0.4998460969066812,0.004599625011906028,18.472
random_3sat,34,mode_a,22,101,4.590909090909091,1,0,0,10,115,10,9,3,0.4998460969066812,0.0028294160729274154,13.46
random_3sat,34,mode_a_gated,22,101,4.590909090909091,1,0,0,9,107,10,9,4,0.4998460969066812,0.002646791050210595,13.128
random_3sat,34,random,22,101,4.590909090909091,1,0,0,22,197,19,18,4,0.4998460969066812,0.005740292021073401,26.388
planted_3sat,35,vsids,22,101,4.590909090909091,1,1,0,7,13,0,0,7,0.6330264909847864,0.0012710830196738243,2.152
planted_3sat,35,progress_only,22,101,4.590909090909091,1,1,0,7,13,0,0,7,0.6330264909847864,0.0010164589621126652,2.152
planted_3sat,35,maat_only,22,101,4.590909090909091,1,1,0,8,22,2,2,5,0.6330264909847864,0.0014681670581921935,4.488
planted_3sat,35,mode_a,22,101,4.590909090909091,1,1,0,6,14,0,0,6,0.6330264909847864,0.0010710000060498714,1.8559999999999999
planted_3sat,35,mode_a_gated,22,101,4.590909090909091,1,1,0,9,41,3,3,6,0.6330264909847864,0.0018851669738069177,5.863999999999999
planted_3sat,35,random,22,101,4.590909090909091,1,1,0,6,14,0,0,6,0.6330264909847864,0.0011795409955084324,1.8559999999999999
random_3sat,36,vsids,26,101,3.8846153846153846,1,1,0,15,7,0,0,15,0.6343396089847868,0.00204233406111598,4.528
random_3sat,36,progress_only,26,101,3.8846153846153846,1,1,0,14,6,0,0,14,0.6343396089847868,0.0018047080375254154,4.224
random_3sat,36,maat_only,26,101,3.8846153846153846,1,1,0,12,12,0,0,12,0.6343396089847868,0.0017948750173673034,3.6479999999999997
random_3sat,36,mode_a,26,101,3.8846153846153846,1,1,0,14,7,0,0,14,0.6343396089847868,0.0019186250865459442,4.228
random_3sat,36,mode_a_gated,26,101,3.8846153846153846,1,1,0,11,11,0,0,11,0.6343396089847868,0.0019450410036370158,3.344
random_3sat,36,random,26,101,3.8846153846153846,1,1,0,15,10,0,0,15,0.6343396089847868,0.002063291030935943,4.54
planted_3sat,37,vsids,26,101,3.8846153846153846,1,1,0,10,15,0,0,10,0.6007484002338713,0.001691750017926097,3.06
planted_3sat,37,progress_only,26,101,3.8846153846153846,1,1,0,9,16,0,0,9,0.6007484002338713,0.0015282919630408287,2.764
planted_3sat,37,maat_only,26,101,3.8846153846153846,1,1,0,12,12,0,0,12,0.6007484002338713,0.0019524579402059317,3.6479999999999997
planted_3sat,37,mode_a,26,101,3.8846153846153846,1,1,0,5,21,0,0,5,0.6007484002338713,0.0011469590244814754,1.584
planted_3sat,37,mode_a_gated,26,101,3.8846153846153846,1,1,0,9,15,0,0,9,0.6007484002338713,0.0014942080015316606,2.76
planted_3sat,37,random,26,101,3.8846153846153846,1,1,0,7,18,0,0,7,0.6007484002338713,0.0014375840546563268,2.172
random_3sat,38,vsids,26,101,3.8846153846153846,1,0,0,13,152,14,13,5,0.556047499732837,0.0040723750134930015,18.508
random_3sat,38,progress_only,26,101,3.8846153846153846,1,0,0,13,161,14,13,5,0.556047499732837,0.004161040997132659,18.543999999999997
random_3sat,38,maat_only,26,101,3.8846153846153846,1,0,0,32,322,27,26,8,0.556047499732837,0.009673250024206936,37.888
random_3sat,38,mode_a,26,101,3.8846153846153846,1,0,0,14,174,14,13,5,0.556047499732837,0.004499583039432764,18.896
random_3sat,38,mode_a_gated,26,101,3.8846153846153846,1,0,0,13,138,11,10,4,0.556047499732837,0.0038408749969676137,15.452
random_3sat,38,random,26,101,3.8846153846153846,1,0,0,39,365,31,30,7,0.556047499732837,0.010725333006121218,44.160000000000004
planted_3sat,39,vsids,26,101,3.8846153846153846,1,1,0,12,35,3,3,8,0.5846394362307671,0.002270375029183924,6.739999999999999
planted_3sat,39,progress_only,26,101,3.8846153846153846,1,1,0,13,38,4,4,8,0.5846394362307671,0.0022537909680977464,8.052
