family,instance_id,n_vars,n_clauses,alpha,structure_gate,clustering_mean,degree_cv,v_std,tail_degree_pressure,symmetry_penalty
modular_3sat,54,18,72,4.0,0.5845306965983257,0.6086860669859819,0.2003084041757515,0.15355861066336918,0.16666666660227275,0.10216183455647881
modular_3sat,55,18,72,4.0,0.6243298978662774,0.5962241462025557,0.2763853991732512,0.16407449208511737,0.2020202019528619,0.0639781007532184
modular_3sat,56,18,72,4.0,0.5933885133970384,0.5871653038116716,0.2846375212529357,0.13857990320230135,0.2676767676039563,0.07592417508693376
modular_3sat,57,18,78,4.333333333333333,0.5838252520602109,0.6589506172476132,0.16813944932814312,0.15713484025058266,0.1398601398027613,0.11646619162588623
modular_3sat,58,18,78,4.333333333333333,0.5748638923005186,0.5949294532372389,0.2220577958250824,0.1474055462232772,0.15384615378769945,0.0964559809191794
modular_3sat,59,18,78,4.333333333333333,0.6515005314601572,0.67194965524654,0.20189763777964403,0.18897259527443389,0.1398601398027613,0.07545190721775047
modular_3sat,60,18,85,4.722222222222222,0.5586242851443325,0.5739738656190255,0.2931749598470021,0.1249425947043283,0.2067736184809479,0.08150726770327911
modular_3sat,61,18,85,4.722222222222222,0.5596752427222393,0.5860149109942145,0.20137932667547545,0.14213381089081908,0.16399286982086614,0.1117663153522321
modular_3sat,62,18,85,4.722222222222222,0.5908118542807661,0.6471500721250572,0.2547812685432827,0.14213381089081906,0.2067736184809479,0.08557562707530095
modular_3sat,63,24,96,4.0,0.615697567081257,0.5849176286372404,0.22566773344330435,0.1659765325622343,0.2020202019528619,0.08114834021164036
modular_3sat,64,24,96,4.0,0.6372868844990965,0.566134791113179,0.3023825146564298,0.16850834318991167,0.2373737373034512,0.054141799008132575
modular_3sat,65,24,96,4.0,0.5972321731909004,0.5980850168032575,0.22566773344330435,0.1558103318131319,0.18686868680260937,0.08832270240907499
modular_3sat,66,24,104,4.333333333333333,0.6014010927658554,0.5758958633684531,0.24325212768654825,0.15261986787503104,0.23776223769732818,0.0830682374732055
modular_3sat,67,24,104,4.333333333333333,0.6312951827466884,0.6388805638417155,0.23183514511069378,0.17613630337150343,0.1398601398027613,0.07229659447316
modular_3sat,68,24,104,4.333333333333333,0.5469858698751187,0.5160189347531098,0.23183514511069378,0.13628392066560188,0.17249417243428364,0.10077398273647437
modular_3sat,69,24,113,4.708333333333333,0.5898504241221963,0.5940201206464808,0.2651423528362963,0.14892605421637017,0.1662644139973468,0.07678375259326559
modular_3sat,70,24,113,4.708333333333333,0.5348531472991693,0.5315392940235596,0.17617807339919814,0.14218636545584998,0.12335746843857161,0.126719823241092
modular_3sat,71,24,113,4.708333333333333,0.5105015870567394,0.5109332796681286,0.1785331061982633,0.13137116365604323,0.12335746843857161,0.1370478384792926
xor3_cnf,72,15,52,3.466666666666667,0.7487641349815097,0.6044444441835133,0.3922322702386534,0.23790468561928593,0.32634032625067233,0.01937638159762255
xor3_cnf,73,15,52,3.466666666666667,0.7665170518046838,0.5246560844452784,0.5756395979098716,0.22951012419419764,0.466200466097364,0.008305956609064639
xor3_cnf,74,15,60,4.0,0.7049996073292357,0.5995238092819852,0.38490017942767546,0.20749832660720824,0.2020202019528619,0.02589634036613363
xor3_cnf,75,15,60,4.0,0.7585742676867528,0.5338528137372432,0.6206328907824558,0.2516429029107803,0.40404040395622903,0.005515523847525851
xor3_cnf,76,15,68,4.533333333333333,0.6507116142664694,0.48846560842058157,0.2999423243069328,0.18083786095373958,0.28520499102180985,0.04945491679901417
xor3_cnf,77,15,68,4.533333333333333,0.8024441238045684,0.6175613274347158,0.6056253023664687,0.2672170628247815,0.5704099820881828,0.005221683765253997
xor3_cnf,78,18,60,3.3333333333333335,0.721298368323766,0.4260582009572169,0.4268749491195024,0.22821773226529202,0.363636363539394,0.017664661136074858
xor3_cnf,79,18,60,3.3333333333333335,0.7411248477268074,0.48359788338878307,0.5696002496308753,0.2728733708601756,0.363636363539394,0.005964404830718718
xor3_cnf,80,18,72,4.0,0.7722962133081016,0.5761544009460111,0.5555555555092593,0.21851825909916436,0.4646464645572392,0.010064274841375023
xor3_cnf,81,18,72,4.0,0.7474011730054989,0.4763668428437322,0.5879447357431359,0.2842188748627742,0.40404040395622903,0.004950759387399025
xor3_cnf,82,18,84,4.666666666666667,0.7280344567186341,0.47477954129865574,0.5150787536009214,0.2521512381505675,0.31168831162275834,0.009310112668133991
xor3_cnf,83,18,84,4.666666666666667,0.7610727701500638,0.5410052908532079,0.44923719673251183,0.25361582687493456,0.43290043282622137,0.012782845431147109
xor3_cnf,84,21,72,3.4285714285714284,0.7445242826475672,0.552154194766969,0.4421235698204721,0.2388381267289414,0.33670033660867926,0.014981553941754945
xor3_cnf,85,21,72,3.4285714285714284,0.7917896450565735,0.5412698409884187,0.6953697538404905,0.29377517740275927,0.5723905722760007,0.0026718738197806227
xor3_cnf,86,21,84,4.0,0.7488848799740426,0.49198790608832854,0.5143444998307777,0.2666582680836867,0.40404040395622903,0.008280311146720967
xor3_cnf,87,21,84,4.0,0.6849131716858154,0.506606884995656,0.48249790959695577,0.201007563033569,0.2020202019528619,0.016780251780395113
xor3_cnf,88,21,96,4.571428571428571,0.7803652358338767,0.6179545320348758,0.600925212533514,0.2257745139332078,0.4545454544681187,0.007550961706835741
xor3_cnf,89,21,96,4.571428571428571,0.7725956568296353,0.574768088832995,0.5215273153930439,0.2461829819362852,0.4545454544681187,0.009474404056206824
graph_coloring,90,24,53,2.2083333333333335,0.5765412381135498,0.2958333331676389,0.20384122870484483,0.19364916727164103,0.1594896330126752,0.07186620129515457
graph_coloring,91,24,65,2.7083333333333335,0.6273572270346571,0.33333333318777775,0.22591967051317188,0.21650635091002526,0.1317523055370338,0.05319355995270252
graph_coloring,92,30,91,3.033333333333333,0.17632154398196584,0.15999999998600004,0.0765465544500139,0.0816496580791643,0.05681818171460703,0.3453673694250361
graph_coloring,93,30,115,3.8333333333333335,0.5386604612112644,0.3473809523601587,0.2015564436822692,0.16124515494984648,0.15909090899526532,0.0952269924729468
graph_coloring,94,36,120,3.3333333333333335,0.3600245144712873,0.14444444443309526,0.1428571428367347,0.14285714283673467,0.08658008648113795,0.14885808084383878
graph_coloring,95,36,135,3.75,0.5050424995258423,0.2638227513060724,0.18670136992067907,0.16249934048920603,0.16763378455629183,0.10150288874668878
pigeonhole,96,20,45,2.25,0.0,0.42857142855102043,0.0,1.1102230246251565e-16,0.0,0.9999999999999991
pigeonhole,97,30,81,2.7,0.0,0.44444444443209885,0.0,0.0,0.0,1.0
pigeonhole,98,42,133,3.1666666666666665,0.0,0.4545454545371901,0.0,2.220446049250313e-16,0.0,0.9999999999999981
