galaxy,family,n_points,mean_residual_fraction,outer_residual_fraction,mean_D_struct,peak_D_struct,mean_R_rob,mean_V,nfw_like_rmse_v2,nfw_like_chi2,nfw_like_rs_kpc,rar_mean_sigma_residual,morphology_proxy,vobs_max,median_gas_fraction_proxy,median_bulge_fraction_proxy,outer_residual_fraction_proxy
UGC02916,unknown,43,0.2621272358156002,0.4226290352046745,0.0560806689582399,0.2731031827707918,0.4624826701586487,0.3624199207315581,14166.475459970276,274.2494883464181,40.0,5.790401267306062,bulge_proxy,218.0,0.014828405237069783,0.837649923067715,0.4226290352046745
UGC02953,unknown,115,0.397925790104819,0.6154835385285661,0.0857462173825318,0.2492518484045187,0.5406233725754919,0.4088830740657033,26840.8291619892,1950.0586855368967,40.0,8.264518971752825,bulge_proxy,319.0,0.0015737548288585997,0.2302962819503983,0.6154835385285661
UGC03205,unknown,48,0.5049804584011791,0.59511794708036,0.1055084338267566,0.1713368552045918,0.5873170295951021,0.3593468799894788,14688.49877112772,228.00638861460652,40.0,2.7255240540910664,bulge_proxy,237.0,0.0024224490824204335,0.2149947782053165,0.59511794708036
UGC03546,unknown,30,0.2480320494908749,0.4960640989817498,0.0533637264906559,0.1640179246934614,0.3424365485551312,0.3436022129452522,13197.94782676987,1325.6903793375575,40.0,2.5199238584332004,bulge_proxy,262.0,0.00015269318079516532,0.4546538163240125,0.4960640989817498
UGC03580,unknown,47,0.2859219527690363,0.5369456642055394,0.050613387246686,0.1599543707715557,0.2957113836241634,0.3319673240417743,5922.505113464463,343.52868593138965,40.0,7.525928249009349,bulge_proxy,131.0,0.011431273675142503,0.4423719005790231,0.5369456642055394
UGC04278,unknown,25,0.793845468552054,0.8399435301489242,0.2595619447747375,0.5397082802906752,0.6181304542103931,0.5213115059627693,901.5187252160348,2.2717449273048107,40.0,1.2083540074479582,dm_dominated_disk_proxy,92.8,0.11415758211023039,0.0,0.8399435301489242
UGC04305,unknown,22,0.2377710805324143,0.0579083154648362,0.0763313661093552,0.2425485845323536,0.5137534828825785,0.4786860386432753,365.83516425063954,4.386194543205717,0.6,7.20839571212553,dwarf_proxy,37.3,0.3213892947425929,0.0,0.057908315464836206
UGC04325,unknown,8,0.8126352557490238,0.7731841689793338,0.3249153860883753,0.6400899673350912,0.6249839870838705,0.6122856024206762,634.9198399184778,2.726170867085877,4.584659240135315,4.965463059177297,dm_dominated_disk_proxy,92.7,0.29375198807338265,0.0,0.7731841689793338
UGC04483,unknown,8,0.648633681566612,0.6826902211975995,0.225260715506776,0.3304262750506471,0.6177616164047024,0.5601866315521132,35.088432890913644,0.8359159942288159,6.247414733110723,3.0865550649376643,dwarf_proxy,24.3,0.6910683922012153,0.0,0.6826902211975995
UGC04499,unknown,9,0.6659157807112172,0.7150562141762867,0.2418100594037323,0.3630817954081122,0.622416994153309,0.6016755999417049,317.44614205089863,2.275245557478753,23.532687018360203,2.8045822395456113,dwarf_proxy,74.3,0.4875816898080947,0.0,0.7150562141762867
UGC05005,unknown,11,0.6899511681434942,0.7910054760438476,0.23350311794784,0.3332513660064142,0.6353116590326717,0.5513670745553573,1010.6281720693872,0.8352597638350762,40.0,1.436601196098412,dm_dominated_disk_proxy,100.0,0.2990867242072348,0.0,0.7910054760438476
UGC05253,unknown,73,0.2669022782105937,0.4257044721538198,0.0531674687568076,0.1413103749428642,0.6196706093687314,0.3690216489671028,6363.710941620229,25.705610023261507,40.0,1.5039612808737477,bulge_proxy,248.0,0.001889632034894309,0.7752166217319798,0.42570447215381985
