r_kpc,v_obs_km_s,v_baryon_km_s,v_dark_residual_km_s,residual_fraction,rho_residual_norm,slope_dlnv_dlnr,H,B,S_eff,V,R_resp,R_rob,structural_dark_support,structural_warning
11.139748953974896,202.61997641440428,127.06715444537787,157.82519793533677,0.6067197947498425,0.10193667180468473,0.05234761475065852,1.0,0.9502563468411893,0.8071138813068411,0.6073742349636618,0.8325922831718573,0.8261482555635903,0.30444056524975005,0.11100088418455858
11.255230125523013,202.727415048136,126.01175299595798,158.8063062947592,0.6136355664967409,0.10035728097116829,0.05047603583301452,1.0,0.9519493695132344,0.8114792779317895,0.6109148253283034,0.8347020978479184,0.828834818939114,0.31071282189835125,0.11033469447909937
11.37071129707113,202.83000370471285,124.95401235955644,159.77016366675488,0.6204788221524344,0.09879081948415795,0.04866742389435785,1.0,0.9535911741077784,0.8159564526751543,0.6144204313734228,0.836776144691523,0.8315219409901565,0.31700515538770696,0.1096246173951489
11.486192468619247,202.9279613210069,123.89445880517258,160.71689569946736,0.6272480009654652,0.09723796952194493,0.04691985837638413,1.0,0.9551829512058834,0.8205381901109822,0.6178901127406004,0.8388145131895014,0.8342076185596814,0.3233141287147691,0.10887227384288682
11.601673640167364,203.0214969506778,122.83360006481337,161.6466359662692,0.63394165678295,0.0956993631178653,0.04523146738574724,1.0,0.956725884364277,0.8252171891804061,0.6213229118734023,0.840817284838719,0.836889828804015,0.3296362380342687,0.10807937138111602
11.717154811715481,203.11081021031933,121.77192585346674,162.55952539986748,0.640558455277048,0.09417558391740803,0.04360042696441724,1.0,0.9582211487865712,0.8299860574753184,0.6247178553611522,0.8427845334009999,0.8395665303462339,0.33596791489150657,0.10724770124964479
11.832635983263598,203.19609170546568,120.7099083758031,163.45571175178077,0.6470971711190916,0.09266716894172324,0.042024960341791484,1.0,0.9596699100873678,0.8348373061376372,0.6280739555468045,0.84471632528076,0.842235664515823,0.3423055287881618,0.1063791352862154
11.948117154811715,203.27752343736742,119.64800281991016,164.33534907632085,0.6535566851098555,0.09117461034990974,0.040503337173674936,1.0,0.9610733231440715,0.8397633453892673,0.631390212369895,0.8466127200091658,0.8448951566665682,0.34864539007760553,0.10547562273589933
12.063598326359832,203.35527919140458,118.58664783835863,165.19859723821875,0.6599359812740462,0.08969835719333048,0.03903387276824333,1.0,0.9624325310355403,0.8447564807076801,0.6346656154108328,0.8484737708183041,0.8475429175641125,0.3549837531804867,0.10453918696124188
12.179079497907951,203.429524907966,117.52626601689028,166.0456214430477,0.666234143926715,0.08823881715609302,0.037614927299955525,1.0,0.963748664065738,0.849808909660478,0.6378991461104786,0.850299525292505,0.8501768448367121,0.3613168201134463,0.1035719220605881
12.294560669456068,203.5004190365868,116.46726433101142,166.87659178961184,0.6724503547189292,0.08679635827649043,0.03624490501596256,0.9999999999999825,0.96502283886703,0.85491271941236,0.6410897801463443,0.8520900260866089,0.8520900260866089,0.36733690499677873,0.10306710931453121
12.410041841004185,203.5681128740993,115.41003459076951,167.6916828434834,0.6785838896696402,0.0853713106448876,0.03492225343393329,1.0,0.966256157582795,0.8600598849170458,0.6442364899336299,0.8538453116970124,0.8538453116970124,0.37327427688428133,0.10264174370717734
12.525523012552302,203.63275088751897,114.3549538739833,168.4910732308911,0.6846341161903258,0.08396396807421924,0.03364546253322942,1.0,0.9674497071261049,0.8652422678055197,0.6473382472322898,0.85556541727648,0.85556541727648,0.3791779078956678,0.10221186916680335
12.641004184100419,203.69447102235497,113.30238494819046,169.2749452521816,0.6906004901086129,0.08257458973971789,0.03241306394266985,1.0,0.9686045585098585,0.8704516159817425,0.6503940258430226,0.8572503754846091,0.8572503754846091,0.38504466435217916,0.10177833646045763
