z,E_H_over_H0,Omega_m_z,Omega_L_z,D_growth_norm,sigma8_z,Gamma_inst,Gamma_prod,Gamma_coh,U_struct,CCI_cos_v02,CCI_cos_v02_normalized
8.120133481646273355e-01,1.599721383484462134e+00,7.323286610469168512e-01,2.676713389530830378e-01,6.615437832375764549e-01,5.365120082056745732e-01,1.599721383484462134e+00,1.812013348164627224e+00,6.615437832375764549e-01,4.148905726045346021e-01,2.468407205226887946e+00,4.936814412922183593e+00
8.231368186874304937e-01,1.610538661200913158e+00,7.359122464210147152e-01,2.640877535789851738e-01,6.581306316748912755e-01,5.337439422883368811e-01,1.610538661200913158e+00,1.823136818687430605e+00,6.581306316748912755e-01,4.198091066410670202e-01,2.514210473430843251e+00,5.028420949375897564e+00
8.342602892102336520e-01,1.621415245755180701e+00,7.394434069113620112e-01,2.605565930886382109e-01,6.547467333839303016e-01,5.309996007743674751e-01,1.621415245755180701e+00,1.834260289210233541e+00,6.547467333839303016e-01,4.246923201450588103e-01,2.560617838748971309e+00,5.121235680058561002e+00
8.453837597330366993e-01,1.632350748419212572e+00,7.429227733358032548e-01,2.570772266641967452e-01,6.513918300758063662e-01,5.282787741914789503e-01,1.632350748419212572e+00,1.845383759733036699e+00,6.513918300758063662e-01,4.295400572512492743e-01,2.607632434577360048e+00,5.215264871762352428e+00
8.565072302558398576e-01,1.643344784446929774e+00,7.463509793208387144e-01,2.536490206791613411e-01,6.480656632076290391e-01,5.255812528613872381e-01,1.643344784446929774e+00,1.856507230255839858e+00,6.480656632076290391e-01,4.343521789488635765e-01,2.655257363325707498e+00,5.310514729306672344e+00
8.676307007786430159e-01,1.654396973079203192e+00,7.497286606122525177e-01,2.502713393877474823e-01,6.447679741405376586e-01,5.229068270279760844e-01,1.654396973079203192e+00,1.867630700778643016e+00,6.447679741405376586e-01,4.391285626202800496e-01,2.703495696870282572e+00,5.406991396444061238e+00
8.787541713014460631e-01,1.665506937545647714e+00,7.530564544222780876e-01,2.469435455777219401e-01,6.414985042892631384e-01,5.202552869785924683e-01,1.665506937545647714e+00,1.878754171301446174e+00,6.414985042892631384e-01,4.438691015822030517e-01,2.752350477010582885e+00,5.504700956773516118e+00
8.898776418242492214e-01,1.676674305063416304e+00,7.563349988120712242e-01,2.436650011879287481e-01,6.382569952635686050e-01,5.176264231587541786e-01,1.676674305063416304e+00,1.889877641824249110e+00,6.382569952635686050e-01,4.485737046298510222e-01,2.801824715929011944e+00,5.603649434659848438e+00
9.010011123470522687e-01,1.687898706833163009e+00,7.595649321082781347e-01,2.404350678917219208e-01,6.350431890019128112e-01,5.150200262805513240e-01,1.687898706833163009e+00,1.901001112347052269e+00,6.350431890019128112e-01,4.532422955846324708e-01,2.851921396652899343e+00,5.703842796157720052e+00
9.121245828698554270e-01,1.699179778032333221e+00,7.627468923524854949e-01,2.372531076475146439e-01,6.318568278976660624e-01,5.124358874250072304e-01,1.699179778032333221e+00,1.912124582869855427e+00,6.318568278976660624e-01,4.578748128457507671e-01,2.902643473518197847e+00,5.805286949939039154e+00
