instance_id,n_vars,n_clauses,alpha,satisfiable,dpll_nodes,dpll_timed_out,solve_time_s,log_nodes,degree_cv,max_degree_norm,literal_imbalance,expansion_defect,interaction_cycle_density,backdoor_density,propagation_depth,contradiction_rate,covariance_condition_log,H,B,S,V,R_resp,R_rob,F_MAAT,F_MAAT_primary,density_peak
320,24,78,3.2405192870478903,True,10,False,0.00023224996402859688,2.3978952727983707,0.22981760099777518,1.333333333196581,0.27810985307617253,0.0,0.19723677941867687,0.2916666666666667,0.0,0.0,2.486670103295998,0.6166492108127289,0.65193042705707,0.5415517067556107,0.6143234832151963,0.6274014470473087,0.6047405899284735,2.514778441117268,2.01182275289071,0.027355821676041933
321,27,93,3.4540246930370015,True,28,False,0.0005835830233991146,3.367295829986474,0.23850616140507822,1.4516129030853278,0.24628334625586779,0.0,0.18824433346131839,0.2962962962962963,0.0,0.0,2.59993011945818,0.6060670230745382,0.6670900593051333,0.5403978761771956,0.6197608117093824,0.6304390098844697,0.6066116086667553,2.499332724952423,1.9994661799581306,0.10547363046369121
322,28,103,3.6794598878219875,True,18,False,0.000577665981836617,2.9444389791664403,0.3077498046709689,1.72168284774043,0.19833588506579794,0.0,0.20553359683788217,0.2857142857142857,0.0,0.0,3.201863270251854,0.5554118218992676,0.6717500211623912,0.5377816540359912,0.6098904883256887,0.6105082768257923,0.5914528961956234,2.6258661576743947,2.1006929261344682,0.3113024347414993
323,24,93,3.8676389515609246,True,6,False,0.00022758403792977333,1.9459101490553132,0.2614031350558625,1.4623655912720546,0.25559586788842886,0.0,0.23852573018072373,0.2916666666666667,0.0,0.0,3.0021883607414845,0.5712499855654307,0.6543102447203397,0.540293226244445,0.5846637573524,0.6023358307486271,0.5861872993947063,2.670579576120917,2.136463660893464,0.5868076798062141
324,26,105,4.051913108320468,False,31,False,0.0012084579793736339,3.4657359027997265,0.28346557758006957,1.568253968124525,0.2407714668724047,0.0,0.21040346782253738,0.2692307692307692,0.0,0.0,2.803339689505191,0.5879465354596929,0.655478913195433,0.539264834314818,0.6111753843067328,0.6175718211742237,0.5969887249374282,2.5792852514571436,2.0634282011623726,0.8607671238511051
325,25,108,4.304616864962459,False,25,False,0.000937500037252903,3.258096538021482,0.2824369207864378,1.6203703702453416,0.2506151763385311,0.0,0.22323232323224806,0.28,0.0,0.0,2.9124182751195646,0.5786686859499705,0.6503526062969225,0.5387601140891934,0.5986358359133666,0.6084812393572429,0.5902476321563466,2.6360655646087907,2.108852451683934,0.9931308183310795
326,25,114,4.549495710666579,True,11,False,0.0004426669329404831,2.4849066497880004,0.2725108550603664,1.388888888787362,0.2278768015422309,0.0,0.22825416409616647,0.28,0.0,0.0,2.9793078626426612,0.5731227334748106,0.666389900147202,0.5410091430057016,0.5950580447736709,0.6102556245842855,0.5921544459497347,2.6199389400118647,2.0959511520056195,0.7481190938684327
327,29,137,4.735326753590679,True,9,False,0.0003957500448450446,2.302585092994046,0.2640547310301035,1.4817518247129664,0.24122626182852408,0.0,0.2050973791776376,0.27586206896551724,0.0,0.0,3.03535743180607,0.5685567561807797,0.6615352748524584,0.5401046531946627,0.6131642388052181,0.6132457538247531,0.5940806294970792,2.603701136250102,2.08296090899613,0.45734135609672316
328,35,173,4.941716446836682,False,49,False,0.0033147919457405806,3.912023005428146,0.24367511963749866,1.483622350574322,0.220392132790563,0.0,0.20887040887037991,0.3142857142857143,0.0,0.0,3.0988721119803517,0.563469793074513,0.6806118997712242,0.5400864652478703,0.5991003708123679,0.6124771935938489,0.5935171392961566,2.6084459265858357,2.086756741263624,0.200047343014802
329,25,129,5.141186716351708,False,29,False,0.0011454588966444135,3.4011973816621555,0.2123898975370241,1.421188630399148,0.23348934723781686,0.0,0.23664343786288133,0.32,0.0,0.0,2.6306880709971474,0.6032556436331449,0.6836071002369282,0.540694198448188,0.578273052341481,0.6201265196637675,0.5992363577722657,2.5604958487813674,2.048396679020274,0.06797077905151286
330,30,98,3.259725408432619,True,14,False,0.00032783299684524536,2.70805020110221,0.30430298291241864,2.0408163263223655,0.2683037332721114,0.0,0.17787554996851732,0.26666666666666666,0.0,0.0,2.8082513564118767,0.5875223740429147,0.634106526511765,0.5347226106086239,0.6373143336306942,0.6192225637301112,0.596921493581083,2.5798483704856645,2.063878696385082,0.03128846615331588
331,28,98,3.4913210326924147,True,43,False,0.0010679590050131083,3.784189633918261,0.32942312956871483,1.714285714122449,0.19506584682865902,0.0,0.19866071428565094,0.25,0.0,0.0,2.8715576146351767,0.5821096502895824,0.6663765937999901,0.5378529741068377,0.6260480715484007,0.6238938986713615,0.6011722805339763,2.544368636974077,2.0354949095749735,0.12925868220491588
332,30,110,3.652761232021913,True,10,False,0.0004479580093175173,2.3978952727983707,0.3087341969889037,1.6363636362148761,0.261712329036181,0.0,0.18843802112279365,0.26666666666666666,0.0,0.0,2.9547352620501215,0.5751477014267942,0.6362226998241144,0.5386054170298654,0.6288480091723437,0.6127896380991731,0.5933367371474881,2.609965929633008,2.0879727437032503,0.2789293321500277
