galaxy,r_kpc,v_obs_km_s,e_v_obs_km_s,v_gas_km_s,v_disk_km_s,v_bulge_km_s,upsilon_disk,upsilon_bulge,v_baryon_km_s,v_residual_km_s,residual_fraction,H,B,S_eff,V,R_resp,R_rob,D_struct,v_nfw_like_km_s,v_rar_km_s,nfw_fractional_residual,rar_sigma_residual
D631-7,3.59,45.6,1.59,20.61,16.32,0.0,0.5,0.7,23.62082344034602,39.00534194184176,0.7316754674515236,1.0,0.6347739300631762,0.9946504071753749,0.5259328270529566,0.69371825079895,0.69371825079895,0.2669512095599642,21.903380058694225,54.88050647280173,0.5009515629830315,5.8367965237746695
D631-7,4.04,48.8,1.83,20.38,15.37,0.0,0.5,0.7,23.09681471545373,42.98810475003521,0.7759914799449072,1.0,0.6214742348411346,0.9996388897481243,0.5269603882213911,0.6892874419965901,0.6892874419965901,0.2818611954362185,23.075883330438895,55.67816229743886,0.5523887893543286,3.7585586324802525
D631-7,4.49,51.8,1.91,19.9,14.49,0.0,0.5,0.7,22.382807017887636,46.71455822332049,0.813289139249564,1.0,0.5674933529180047,0.9850533775060558,0.5212731528363805,0.6663085390627651,0.6663085390627651,0.2824787024981588,24.16142249283124,56.06948440617609,0.5957259183386163,2.235332149830414
D631-7,4.94,54.8,2.19,19.43,13.72,0.0,0.5,0.7,21.717368625135045,50.31297943870945,0.8429444496243806,1.0,0.5398933708190681,0.9234297283461772,0.419952186422798,0.6097745305844192,0.6097745305844192,0.2158579670847037,25.17224105368441,56.38573558599285,0.6319443564971512,0.7240801762524431
D631-7,5.39,56.6,2.73,18.84,13.04,0.0,0.5,0.7,20.97537603953741,52.56989252414351,0.862663287093109,1.0,0.5065143561087273,0.825454687299413,0.3697836011822006,0.5721542595957451,0.5721542595957451,0.18251648612812643,26.117929608011377,56.46845753817825,0.6497294737701067,0.04818405194935971
D631-7,5.84,58.4,3.27,18.25,12.45,0.0,0.5,0.7,20.26237276332661,54.77222151784607,0.87961984248921,1.0,0.43583178692375785,0.6740601920604106,0.34066112333762655,0.5295177125857894,0.5295177125857894,0.15867119181074837,27.00617737510545,56.47677945556999,0.6657741349175333,0.5881408392752322
D631-7,6.29,58.5,3.95,17.65,11.93,0.0,0.5,0.7,19.56233498332957,55.1322505435793,0.8881773833004603,1.0,0.5229509768457355,0.3868957159148048,0.33238464015266334,0.5580853749460908,0.5092417025375978,0.15033656323149963,27.843268806834192,56.39941174269564,0.661645827204434,0.531794495520091
D631-7,6.74,57.7,4.07,17.06,11.48,0.0,0.5,0.7,18.892824034537558,54.51927365620346,0.8927883122227263,1.0,0.851452932045832,0.30302986202599036,0.32872506049998046,0.654130631164037,0.5396593697769232,0.1583802528501856,28.63442385960532,56.27318256970201,0.646510508315126,0.35056939319361036
D631-7,7.19,57.3,3.94,16.47,11.08,0.0,0.5,0.7,18.238533384019668,54.31984812202626,0.898685738999601,1.0,0.742129560289576,0.34459491397755,0.3250000000013692,0.6224737339133193,0.5369303939451697,0.15682279855969825,29.38403834578651,56.0832694121208,0.6357111892319436,0.308814870020101
DDO064,0.1,6.29,4.62,-1.13,1.96,0.0,0.5,0.7,0.802433797892387,6.238605613436388,0.9837251447650773,1.0,0.5467725188200496,0.7263116607012596,0.8457582447090286,0.7733052753530331,0.7612792347905579,0.6333794905264057,8.100775374414708,3.970538544454459,0.6749139160684497,0.5020479341007664
DDO064,0.3,13.9,4.62,-2.45,6.31,0.0,0.5,0.7,3.7290146151496906,13.390461157107323,0.9280288287355727,1.0,0.7038450320709388,0.5078744609063758,0.44569488755769066,0.6794720039383038,0.631782757571748,0.26131653391282506,13.982387888420321,11.461585402885524,0.0838606752354603,0.5277953673407958
DDO064,0.49,15.6,4.62,-0.64,9.67,0.0,0.5,0.7,6.807705193381981,14.036208533646114,0.8095625821827744,1.0,0.646432728283838,0.39378700836000635,0.5298927797886095,0.6996869588968684,0.6060286843648538,0.259975013511968,17.811266263156657,17.71347387828731,0.4940255419833276,0.45746187841716673
DDO064,0.69,18.4,4.62,2.49,13.92,0.0,0.5,0.7,10.152994632127017,15.34525007942197,0.695524279300567,1.0,0.5287353564783029,0.9947616000154095,0.4066014081749659,0.5990582824384978,0.5990582824384978,0.16941437201942242,21.063439496996537,23.800494776583545,0.6149331977895611,1.1689382633297718
DDO064,0.89,22.5,4.62,1.87,15.16,0.0,0.5,0.7,10.881622121724316,19.69366141681125,0.7661042962962963,1.0,0.42328984022012356,0.8682040804638906,0.4302744397966399,0.566840837255497,0.566840837255497,0.1868506343239186,23.840466013247525,26.18682387427259,0.35659756983468704,0.7980138256001278
DDO064,1.09,26.5,4.62,4.97,16.41,0.0,0.5,0.7,12.6231909594999,23.30032295913514,0.7730936988252048,1.0,0.3694225160790271,0.9938067486182898,0.5288307416826851,0.5802475985794472,0.5802475985794472,0.2372259413432155,26.29389444548185,29.736526955676123,0.21141165555021885,0.7005469601030568
