galaxy,family,n_points,mean_residual_fraction,outer_residual_fraction,mean_D_struct,peak_D_struct,mean_R_rob,mean_V,nfw_like_rmse_v2,nfw_like_chi2,nfw_like_rs_kpc,rar_mean_sigma_residual
NGC3198,unknown,43,0.5613371779047641,0.7177299324881569,0.13391139157446466,0.2411801182084525,0.5420195421155644,0.41354935399902365,2667.9695169555416,113.15637079607932,40.0,2.486119781190071
NGC3521,unknown,41,0.25121576763371106,0.3323367439915682,0.060516103836720056,0.15687215923851142,0.5915231503421108,0.4314689100096053,2111.865762712662,1.6725810936552437,26.870060044702917,0.6236738291509711
NGC3726,unknown,12,0.4334231862930134,0.5975368722411306,0.1214510651204249,0.195565223299104,0.6418016835994769,0.5009047207011682,4099.510293288435,8.435576369407746,40.0,4.3860823298297555
NGC3741,unknown,21,0.8530254291067078,0.9120970381402235,0.24231632304839396,0.38530319489619635,0.5843973853011649,0.4913986950141241,88.61271777046974,0.38388862261468293,26.870060044702917,1.0382548486076986
NGC3769,unknown,12,0.5756104627450703,0.7701207763487482,0.12347436233339466,0.2060797865302702,0.5724198080479062,0.4396404647554569,8406.25839674544,48.855295611325545,40.0,2.0152947144183586
NGC3877,unknown,13,0.32631161414369664,0.30784961170092556,0.10121865592150797,0.18621030527467536,0.6162519920850639,0.4842341785385774,8693.698020754293,61.45105345949923,40.0,3.296930479950708
NGC3893,unknown,10,0.4840821823028646,0.6441863175752598,0.15221254626071448,0.2513325228068035,0.6923074768857937,0.5267932086149625,5759.502621763023,21.513184449559688,40.0,0.7864238389090961
NGC3917,unknown,17,0.6229499438706995,0.6762951209964155,0.20020061416879997,0.35965221383113555,0.623361093750154,0.5213187628160231,9659.927181390472,137.94304013960846,40.0,1.2394979082325566
NGC3949,unknown,7,0.2763717323725502,0.3745815891600093,0.11124196735260819,0.2237981089969165,0.7525519735259831,0.5542446886558264,3570.172199141195,2.337839877433447,30.68073468374589,1.219342272005801
NGC3953,unknown,8,0.4092744432408652,0.4139515972610965,0.19184992775253756,0.3253113228071568,0.7459958918074339,0.6140607701209237,1152.7756071661186,0.4983399371630323,7.455838546382704,1.4738809677601226
NGC3972,unknown,10,0.6077216592639894,0.6448638046183709,0.2080848421127866,0.3039194671312363,0.6292562705944118,0.5660478444164702,1023.7818627532932,4.003615780914556,40.0,1.23667895520538
NGC3992,unknown,9,0.654842179225257,0.7051379777938822,0.25101103234614186,0.5009855995128442,0.7259730076270107,0.521878655603298,1992.823795633116,0.5088041860192107,11.600771931139898,2.359767808518354
NGC4010,unknown,12,0.511738706010835,0.6288355940926701,0.15777956212005326,0.3732521521371556,0.6152893703688989,0.5270357729734523,1962.3965715724864,7.6602846274040415,40.0,1.635753892013774
NGC4013,unknown,36,0.5622682585094778,0.7123193768001025,0.11121274626490653,0.3024372266527465,0.5415274957273917,0.3777884752799068,2124.301623722247,1.9166782295133378,40.0,2.1980894396577444
NGC4051,unknown,7,0.26796032847143936,0.2882653190264911,0.09548025710341371,0.14357183253538094,0.7226630283206227,0.5585398263882839,1936.6824331675568,3.3094776750131554,20.60982957919629,2.8590899490163584
NGC4068,unknown,6,0.37269121314786013,0.5716013221872803,0.12730603843910993,0.20717809677456953,0.6334029315178002,0.5523079218815873,384.0469424066043,11.729336682807686,40.0,4.499846746381794
NGC4085,unknown,7,0.21388242914382813,0.32993741107822977,0.08126318751047547,0.14574854851732927,0.5780957723545425,0.5586151403255478,4555.8637567151645,30.94239082108602,40.0,3.3279431902016987
NGC4088,unknown,12,0.18555865143019132,0.326000342158737,0.04253391883665087,0.10448870048630966,0.5983944403427269,0.47564960301217263,7422.78730949228,27.544306160394054,40.0,5.653678417392615
NGC4100,unknown,24,0.6026486030623266,0.6773751529966775,0.1665094551043152,0.2813217983436166,0.6094844572583756,0.45269466774891515,1947.720453347823,1.4366704404291992,7.455838546382704,1.501216745341072
NGC4138,unknown,7,0.5229413166784996,0.6455831042815835,0.18924160110820817,0.31569520682184765,0.7099133521584734,0.5701903624484462,3472.663992857594,3.5374420137469578,9.300187231017844,0.8628933725533738
NGC4157,unknown,17,0.4023417397772841,0.593148943140528,0.0976920385436485,0.17700082843322018,0.6164251964136441,0.4295752292704679,15642.205093192219,57.40245991168154,40.0,2.751681567119994
NGC4183,unknown,23,0.7115718905356413,0.729606504985668,0.2737706090628235,0.4579366753959939,0.6873145594715363,0.5559496644198936,522.1323606357431,0.219748280158048,8.513215225639529,1.6548239516685503
NGC4214,unknown,14,0.7865278875003631,0.874148615552046,0.23145492466494605,0.5561870699581739,0.6562118288844679,0.45211354280989097,525.2297224156956,0.5868444751449139,3.364447734958082,2.254652614192494
NGC4217,unknown,19,0.19676027542503252,0.3683610821294269,0.040017056556162535,0.1041015611714053,0.3878478957164054,0.3380952849058286,9157.644090922124,33.79571531502089,40.0,6.468200984075694
NGC4389,unknown,6,0.024562683195592284,0.04912536639118457,0.007606011750815895,0.04563607050489537,0.17495916309953866,0.4009520894262437,727.8395021843064,1.286094249101707,40.0,7.21614528463298
NGC4559,unknown,32,0.5239599641298794,0.6528305321020036,0.14413702399296635,0.263428020884369,0.6184787732005499,0.47326146057062357,731.121670079128,0.7697094275164598,29.353961188694857,3.5698424567996287
NGC5005,unknown,18,0.16320572304527697,0.2850599759850753,0.04489964437047324,0.10136348357079863,0.5409620910378303,0.4025093899321401,14925.857611925496,5.928207725867867,40.0,0.43912702620298527
NGC5033,unknown,22,0.5480237107887519,0.7334049951572035,0.10443100286745413,0.16757971752386513,0.5474947468590968,0.3843160063008453,20790.085680985787,691.9217270712068,40.0,3.169795599061183
NGC5055,unknown,28,0.355977753689639,0.6359402620366457,0.07415914522340376,0.14889414267080142,0.528304089414431,0.3656334857679546,15021.047026923927,2470.9577565145437,40.0,14.948899828711303
NGC5371,unknown,19,0.3538213418468942,0.3802819164374923,0.11120688151852706,0.35491048617680465,0.6628276685684457,0.4475727034724994,6173.497989239349,20.79017669413314,8.145065361059286,11.088459766104231
NGC5585,unknown,24,0.5430167835177194,0.7463498638551188,0.1493249112469309,0.3314504434975646,0.5752618176894398,0.5156847250458646,930.1169687054404,26.447923799338923,40.0,3.6127466664542767
NGC5907,unknown,19,0.6219284398588736,0.6805965335976703,0.2049483169876109,0.44502821463812997,0.6724771232706843,0.4860318288508102,3944.9668072015265,7.544737497901753,13.245977312808964,4.679708593307262
NGC5985,unknown,33,0.7253952140276844,0.7150062656455867,0.2501607490345875,0.4890004566124005,0.6435765153700518,0.5208981054014206,4670.646123395345,3.414922669013685,8.145065361059286,12.093273287034634
NGC6015,unknown,44,0.6559683587217258,0.7575164188350235,0.16285725623076674,0.3127558052245641,0.5562046821776728,0.45337819791219336,2406.151535695856,16.667758071186565,8.145065361059286,3.524725525540465
NGC6195,unknown,23,0.18304210404307564,0.2752661712298253,0.05656986927144469,0.196365037586174,0.6586310978086207,0.48119698587842413,14307.226016268194,77.94356018742735,40.0,4.6224951469754965
NGC6503,unknown,31,0.6991714336500847,0.8198684470080978,0.144539216015664,0.21645818346892953,0.5801865527932969,0.3775922149136839,739.2348741088983,7.696919303015715,12.12511672472422,1.0789487776388884
NGC6674,unknown,15,0.7046415861671935,0.7889525937214363,0.23755997887802754,0.3484585381025668,0.6847684522782806,0.5152364322499514,8584.05175823057,15.482729913870331,18.050003170148518,4.045363471645908
NGC6789,unknown,4,0.8306974004237131,0.8734534383669779,0.3916409930724566,0.5972375792225635,0.7110253769228041,0.6523729853012127,757.089778063655,1.4060777539983211,15.124503439333582,2.1413883386979835
NGC6946,unknown,58,0.38098354582003674,0.5417755926699133,0.06159088527454663,0.10020330409372218,0.5013887203634085,0.34451737368506125,8934.66009854752,262.6297512268558,40.0,4.067596026770917
NGC7331,unknown,36,0.33187549545180334,0.5377287492333439,0.07147113652382049,0.19763438754578488,0.4953418353219192,0.37775422290613947,23107.723028694105,356.4445711736948,40.0,5.414575869520664
NGC7793,unknown,46,0.45202506262580816,0.5453221855870477,0.11813688309693646,0.2791944646457962,0.4951807493424555,0.4825873887153341,2896.2687719105797,12.237301473942516,40.0,0.7616952236716932
NGC7814,unknown,18,0.4755029682154124,0.6748080286907043,0.11238731474663172,0.16834387574147908,0.6491193761170441,0.3969247659061379,21137.300404702743,354.4876902046843,40.0,4.561202546801586
PGC51017,unknown,6,0.2141644496597359,0.0754407758261128,0.04310785228889876,0.11951225955147253,0.6362820057327179,0.4470685077216987,130.9075914774911,1.2433657687796178,0.6,10.358038341179086
UGC00128,unknown,22,0.8415773642948344,0.8581736386057642,0.24013560868665415,0.4159569031558184,0.5855854566214328,0.48311316577373015,724.4393367988367,3.360435562933941,17.269439535066212,7.233085033262271
