d_H,d_B,d_S,d_V,d_R,label,source,alpha,runtime,C_hat
0.5,0.012962962962962954,0.0,0.8596638655462185,0.2518952929490931,sat,sat_hardness_atlas,3.0,7.724761962890625e-05,0.0396191845025068
0.5,0.05555555555555558,0.0,0.8602240896358544,0.23369636960462814,sat,sat_hardness_atlas,3.0,9.870529174804688e-05,0.037369165547613
0.5,0.020370370370370372,0.0,0.8621848739495799,0.24340492773754552,sat,sat_hardness_atlas,3.0,9.107589721679688e-05,0.0384288293116514
0.5,0.00925925925925919,0.0,0.8621848739495799,0.24947807832023405,sat,sat_hardness_atlas,3.0,7.319450378417969e-05,0.0389995297626708
0.5,0.02777777777777779,0.0,0.8606442577030813,0.2443168668844793,sat,sat_hardness_atlas,3.0,9.393692016601562e-05,0.0385846256682666
0.5,0.00925925925925919,0.0,0.8634453781512605,0.2614418938565022,sat,sat_hardness_atlas,3.0,7.176399230957031e-05,0.0389087457592117
0.5,0.007407407407407418,0.0,0.8612044817927171,0.25138123417361125,sat,sat_hardness_atlas,3.0,7.009506225585938e-05,0.0393932083560045
0.5,0.014814814814814836,0.0,0.8609243697478992,0.26732761719277687,sat,sat_hardness_atlas,3.0,7.486343383789062e-05,0.0395387077700226
0.5,0.02592592592592602,0.0,0.8612044817927171,0.23931052976522005,sat,sat_hardness_atlas,3.0,7.867813110351562e-05,0.0383932322224717
0.5,0.050000000000000044,0.0,0.8606442577030813,0.24504162042660493,sat,sat_hardness_atlas,3.0,6.699562072753906e-05,0.0377182616502196
0.5,0.02962962962962956,0.0,0.8628851540616247,0.24594165341483887,sat,sat_hardness_atlas,3.0,8.487701416015625e-05,0.0379269559657588
0.5,0.04629629629629639,0.0,0.8614845938375351,0.24912891515496016,sat,sat_hardness_atlas,3.0,0.0001070499420166,0.0377248389451241
0.5,0.01666666666666683,0.0,0.8644257703081233,0.25526955789349004,sat,sat_hardness_atlas,3.0,7.700920104980469e-05,0.038204945437163
0.5,0.014814814814814836,0.0,0.8602240896358544,0.24982626820453746,sat,sat_hardness_atlas,3.0,7.390975952148438e-05,0.0393404257917891
0.5,0.05555555555555558,0.0,0.8605042016806723,0.24736829098890334,sat,sat_hardness_atlas,3.0,8.487701416015625e-05,0.0375852024626529
0.5,0.005555555555555647,0.0,0.8602240896358544,0.2608061808444626,sat,sat_hardness_atlas,3.0,6.914138793945312e-05,0.0399608656252779
0.5,0.04629629629629639,0.0,0.8610644257703082,0.2441350149792907,sat,sat_hardness_atlas,3.0,7.104873657226562e-05,0.037731652593216
0.5,0.024074074074074026,0.0,0.8628851540616247,0.237978724768801,sat,sat_hardness_atlas,3.0,7.390975952148438e-05,0.0379717141857677
0.5,0.014814814814814836,0.0,0.8620448179271709,0.25,sat,sat_hardness_atlas,3.0,8.20159912109375e-05,0.0388318300279074
0.5,0.01851851851851838,0.0,0.8630252100840337,0.23912115236596865,sat,sat_hardness_atlas,3.0,9.012222290039062e-05,0.0381736152475027
0.5,0.005555555555555647,0.0,0.8598039215686275,0.23624490966191258,sat,sat_hardness_atlas,3.0,6.723403930664062e-05,0.0395228384088637
0.5,0.0037037037037036535,0.0,0.8612044817927171,0.25839341803288296,sat,sat_hardness_atlas,3.0,9.179115295410156e-05,0.0396993975698769
0.5,0.024074074074074026,0.0,0.8621848739495799,0.23250194004550395,sat,sat_hardness_atlas,3.0,7.414817810058594e-05,0.0380473849107967
0.5,0.011111111111111183,0.0,0.8613445378151261,0.2670245318058221,sat,sat_hardness_atlas,3.0,8.177757263183594e-05,0.0395605280977245
0.5,0.020370370370370372,0.0,0.861764705882353,0.25774216134771366,sat,sat_hardness_atlas,3.0,6.985664367675781e-05,0.0388631896090311
0.5,0.00925925925925919,0.0,0.8603641456582634,0.24303826425656982,sat,sat_hardness_atlas,3.0,7.390975952148438e-05,0.0393699334663894
0.5,0.00925925925925919,0.0,0.861764705882353,0.26732761719277687,sat,sat_hardness_atlas,3.0,0.0001008510589599,0.0395214186233192
0.5,0.007407407407407418,0.0,0.8602240896358544,0.24340492773754552,sat,sat_hardness_atlas,3.0,0.0001270771026611,0.0394913258480318
0.5,0.050000000000000044,0.0,0.8610644257703082,0.2658049361863335,sat,sat_hardness_atlas,3.0,7.414817810058594e-05,0.0380547730012392
0.5,0.01851851851851838,0.0,0.8623249299719888,0.25138123417361125,sat,sat_hardness_atlas,3.0,6.699562072753906e-05,0.0386377916765456
0.5,0.005555555555555647,0.0,0.8614845938375351,0.2503467409343165,sat,sat_hardness_atlas,3.0,7.081031799316406e-05,0.0393637650528231
0.5,0.033333333333333215,0.0,0.861624649859944,0.2452221494959862,sat,sat_hardness_atlas,3.0,9.298324584960938e-05,0.0381138962803344
0.5,0.014814814814814836,0.0,0.8605042016806723,0.238169868062046,sat,sat_hardness_atlas,3.0,7.414817810058594e-05,0.0390018296690938
0.5,0.007407407407407418,0.0,0.8600840336134454,0.256923336797537,sat,sat_hardness_atlas,3.0,8.988380432128906e-05,0.0398374776734505
0.5,0.00925925925925919,0.0,0.8612044817927171,0.28149983811170065,sat,sat_hardness_atlas,3.0,7.176399230957031e-05,0.0400088347405453
0.5,0.040740740740740855,0.0,0.8623249299719888,0.25120941131505337,sat,sat_hardness_atlas,3.0,8.082389831542969e-05,0.0377592634720286
0.5,0.06666666666666676,0.0,0.8631652661064426,0.2592027963639405,sat,sat_hardness_atlas,3.0,7.486343383789062e-05,0.0366821653652392
0.5,0.05370370370370359,0.0,0.8599439775910365,0.24558242228129468,sat,sat_hardness_atlas,3.0,7.605552673339844e-05,0.0377716515359943
0.5,0.062962962962963,0.0,0.8628851540616247,0.2503467409343165,sat,sat_hardness_atlas,3.0,0.0001096725463867,0.0367163298800703
0.5,0.031481481481481444,0.0,0.8631652661064426,0.24772241047506505,sat,sat_hardness_atlas,3.0,0.0001008510589599,0.037815634363317
0.5,0.0,0.0,0.8621848739495799,0.2549361797020291,sat,sat_hardness_atlas,3.0,8.225440979003906e-05,0.0394871316273738
0.5,0.04814814814814816,0.0,0.8638655462184874,0.24594165341483887,sat,sat_hardness_atlas,3.0,7.390975952148438e-05,0.0369371508345656
0.5,0.040740740740740855,0.0,0.8624649859943978,0.25206617825328115,sat,sat_hardness_atlas,3.0,7.915496826171875e-05,0.0377393404463257
0.5,0.062962962962963,0.0,0.8621848739495799,0.23048480935334825,sat,sat_hardness_atlas,3.0,7.987022399902344e-05,0.0364896220147761
0.5,0.014814814814814836,0.0,0.8621848739495799,0.25086505650110336,sat,sat_hardness_atlas,3.0,8.511543273925781e-05,0.0388115921193527
0.5,0.02777777777777779,0.0,0.8624649859943978,0.2609654082895242,sat,sat_hardness_atlas,3.0,0.0001051425933837,0.0384450663216657
0.5,0.0444444444444444,0.0,0.8598039215686275,0.2413746966194703,sat,sat_hardness_atlas,3.0,8.130073547363281e-05,0.0380880295739904
0.5,0.02962962962962956,0.0,0.8612044817927171,0.2704673427716786,sat,sat_hardness_atlas,3.0,0.0001001358032226,0.0389362586779516
0.5,0.042592592592592626,0.0,0.8621848739495799,0.2501734906686308,sat,sat_hardness_atlas,3.0,8.416175842285156e-05,0.0377023737294758
0.5,0.0,0.0,0.8626050420168068,0.2691311762465619,sat,sat_hardness_atlas,3.0,9.083747863769533e-05,0.0396895939078115
0.5,0.09074074074074079,0.0,0.8623249299719888,0.23949961630942307,sat,sat_hardness_atlas,3.0,6.723403930664062e-05,0.0355530555042295
0.5,0.014814814814814836,0.0,0.8627450980392157,0.23546638373150952,sat,sat_hardness_atlas,3.0,6.914138793945312e-05,0.0383164985603486
0.5,0.012962962962962954,0.0,0.8633053221288516,0.24594165341483887,sat,sat_hardness_atlas,3.0,7.724761962890625e-05,0.038460155443363
0.5,0.011111111111111183,0.0,0.8612044817927171,0.24629984942273586,sat,sat_hardness_atlas,3.0,8.130073547363281e-05,0.0391325019972708
0.5,0.0037037037037036535,0.0,0.8638655462184874,0.2567589321392493,sat,sat_hardness_atlas,3.0,7.104873657226562e-05,0.038901749760222
