d_H,d_B,d_S,d_V,d_R,label,source
0.5,0.0333333333333332,0.0,0.8596638655462185,0.2685328143029515,sat,sat_hardness_atlas
0.5,0.0185185185185183,0.0,0.8610644257703082,0.2496522945548938,sat,sat_hardness_atlas
0.5,0.0722222222222221,0.0,0.8614845938375351,0.2542667607816011,sat,sat_hardness_atlas
0.5,0.0148148148148148,0.0,0.8612044817927171,0.2473682909889033,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.8628851540616247,0.2444984525368553,sat,sat_hardness_atlas
0.5,0.0407407407407408,0.0,0.8610644257703082,0.247722410475065,sat,sat_hardness_atlas
0.5,0.0555555555555555,0.0,0.861764705882353,0.2375955436858042,sat,sat_hardness_atlas
0.5,0.0148148148148148,0.0,0.8614845938375351,0.2282265497272644,sat,sat_hardness_atlas
0.5,0.0296296296296295,0.0,0.8623249299719888,0.2437705090006037,sat,sat_hardness_atlas
0.5,0.0203703703703703,0.0027777777777777,0.8631652661064426,0.273676042072859,sat,sat_hardness_atlas
0.5,0.0481481481481481,0.0,0.8637254901960785,0.2470131618435765,sat,sat_hardness_atlas
0.5,0.0314814814814814,0.0,0.8614845938375351,0.2554359163887488,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.8621848739495799,0.2334981086592037,sat,sat_hardness_atlas
0.5,0.0111111111111111,0.0,0.861624649859944,0.2278113926333084,sat,sat_hardness_atlas
0.5,0.0055555555555556,0.0,0.8635854341736695,0.2585557088918536,sat,sat_hardness_atlas
0.5,0.062962962962963,0.0,0.8614845938375351,0.2478990935393958,sat,sat_hardness_atlas
0.5,0.0074074074074074,0.0,0.8602240896358544,0.24230166254919,sat,sat_hardness_atlas
0.5,0.0462962962962963,0.0,0.8599439775910365,0.2332995250031628,sat,sat_hardness_atlas
0.5,0.0111111111111111,0.0027777777777777,0.8638655462184874,0.2817706773999543,sat,sat_hardness_atlas
0.5,0.0203703703703703,0.0,0.8626050420168068,0.2630173749741797,sat,sat_hardness_atlas
0.5,0.0129629629629629,0.0,0.8598039215686275,0.2567589321392493,sat,sat_hardness_atlas
0.5,0.0055555555555556,0.0,0.8595238095238096,0.215331912729122,sat,sat_hardness_atlas
0.5,0.0111111111111111,0.0,0.8613445378151261,0.249478078320234,sat,sat_hardness_atlas
0.5,0.0018518518518519,0.0,0.8600840336134454,0.2336963696046281,sat,sat_hardness_atlas
0.5,0.025925925925926,0.0,0.8598039215686275,0.2404407201382563,sat,sat_hardness_atlas
0.5,0.0037037037037036,0.0,0.8613445378151261,0.2370185204730091,sat,sat_hardness_atlas
0.5,0.0185185185185183,0.0,0.8620448179271709,0.2298730813212182,sat,sat_hardness_atlas
0.5,0.0203703703703703,0.0,0.861904761904762,0.2658049361863335,sat,sat_hardness_atlas
0.5,0.0370370370370369,0.0,0.8620448179271709,0.223363693001085,sat,sat_hardness_atlas
0.5,0.0148148148148148,0.0,0.8613445378151261,0.2537623466923863,sat,sat_hardness_atlas
0.5,0.0037037037037036,0.0,0.8634453781512605,0.267629984525278,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.8623249299719888,0.233100617480116,sat,sat_hardness_atlas
0.5,0.025925925925926,0.0,0.8638655462184874,0.2755350751765859,sat,sat_hardness_atlas
0.5,0.024074074074074,0.0,0.8614845938375351,0.2574152688912191,sat,sat_hardness_atlas
0.5,0.0203703703703703,0.0,0.8628851540616247,0.2457621676451287,sat,sat_hardness_atlas
0.5,0.0018518518518519,0.0,0.8609243697478992,0.2364387704955964,sat,sat_hardness_atlas
0.5,0.0185185185185183,0.0,0.8623249299719888,0.2366323252047955,sat,sat_hardness_atlas
0.5,0.0111111111111111,0.0,0.8620448179271709,0.2352709762102849,sat,sat_hardness_atlas
0.5,0.0296296296296295,0.0,0.8606442577030813,0.2404407201382563,sat,sat_hardness_atlas
0.5,0.0074074074074074,0.0,0.8621848739495799,0.231497557109392,sat,sat_hardness_atlas
0.5,0.0129629629629629,0.0,0.8606442577030813,0.2452221494959862,sat,sat_hardness_atlas
0.5,0.025925925925926,0.0,0.861624649859944,0.2664161922224023,sat,sat_hardness_atlas
0.5,0.024074074074074,0.0,0.8628851540616247,0.2489539667450393,sat,sat_hardness_atlas
0.5,0.0111111111111111,0.0,0.8609243697478992,0.2522368308950955,sat,sat_hardness_atlas
0.5,0.0055555555555556,0.0,0.8620448179271709,0.2522368308950955,sat,sat_hardness_atlas
0.5,0.0703703703703704,0.0,0.8605042016806723,0.2370185204730091,sat,sat_hardness_atlas
0.5,0.0074074074074074,0.0,0.861764705882353,0.2493036187662146,sat,sat_hardness_atlas
0.5,0.024074074074074,0.0,0.8614845938375351,0.2544344499230739,sat,sat_hardness_atlas
0.5,0.0055555555555556,0.0,0.8599439775910365,0.2644187902720543,sat,sat_hardness_atlas
0.5,0.0074074074074074,0.0,0.8626050420168068,0.2319003055367621,sat,sat_hardness_atlas
0.5,0.0074074074074074,0.0027777777777777,0.8606442577030813,0.2325019400455039,sat,sat_hardness_atlas
0.5,0.0537037037037035,0.0,0.8638655462184874,0.2424862245336765,sat,sat_hardness_atlas
0.5,0.0611111111111112,0.0,0.861764705882353,0.2267672148644077,sat,sat_hardness_atlas
0.5,0.0166666666666668,0.0027777777777777,0.8638655462184874,0.2475454765497408,sat,sat_hardness_atlas
0.5,0.0203703703703703,0.0,0.8614845938375351,0.2544344499230739,sat,sat_hardness_atlas
0.5,0.0129629629629629,0.0,0.8626050420168068,0.2484276452551397,sat,sat_hardness_atlas
0.5,0.0314814814814814,0.0,0.861624649859944,0.2551029792078376,sat,sat_hardness_atlas
0.5,0.0185185185185183,0.0,0.8614845938375351,0.2267672148644077,sat,sat_hardness_atlas
0.5,0.0129629629629629,0.0,0.8596638655462185,0.2518952929490931,sat,sat_hardness_atlas
0.5,0.0555555555555555,0.0,0.8602240896358544,0.2336963696046281,sat,sat_hardness_atlas
0.5,0.0203703703703703,0.0,0.8621848739495799,0.2434049277375455,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.8621848739495799,0.249478078320234,sat,sat_hardness_atlas
0.5,0.0277777777777777,0.0,0.8606442577030813,0.2443168668844793,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.8634453781512605,0.2614418938565022,sat,sat_hardness_atlas
0.5,0.0074074074074074,0.0,0.8612044817927171,0.2513812341736112,sat,sat_hardness_atlas
0.5,0.0148148148148148,0.0,0.8609243697478992,0.2673276171927768,sat,sat_hardness_atlas
0.5,0.025925925925926,0.0,0.8612044817927171,0.23931052976522,sat,sat_hardness_atlas
0.5,0.05,0.0,0.8606442577030813,0.2450416204266049,sat,sat_hardness_atlas
