set,source_n,t,delta,sigma,config,alpha,dsigma,F_MAAT,H,B,R
jittered_zero,8,43.32183058735719,-0.01,0.49,HBR,10.0,0.002,0.1233927037191702,0.9795558720313089,0.9090909090909091,0.9926009864022707
jittered_zero,8,43.32183058735719,-0.005,0.495,HBR,10.0,0.002,0.0693842673303484,0.9868484189985844,0.9523809523809523,0.9926717095196785
jittered_zero,8,43.32183058735719,-0.002,0.498,HBR,10.0,0.002,0.0373550105092477,0.9898127317216874,0.9803921568627451,0.9927138043776108
jittered_zero,8,43.32183058735719,0.0,0.5,HBR,10.0,0.002,0.016836580050878402,0.9904936360209065,1.0,0.9927417272479907
jittered_zero,8,43.32183058735719,0.002,0.502,HBR,10.0,0.002,0.037259605872883045,0.9898515957030476,0.9803921568627451,0.9927695383178006
jittered_zero,8,43.32183058735719,0.005,0.505,HBR,10.0,0.002,0.06911755216576466,0.9869731247257865,0.9523809523809523,0.9928110462185719
jittered_zero,8,43.32183058735719,0.01,0.51,HBR,10.0,0.002,0.12272096239334102,0.9799389696838424,0.9090909090909091,0.992879673003248
jittered_zero,8,43.32183058735719,0.02,0.52,HBR,10.0,0.002,0.22578758468793078,0.9642001381591686,0.8333333333333333,0.9930148760075546
jittered_zero,8,43.32183058735719,0.05,0.55,HBR,10.0,0.002,0.4961809938376251,0.9193406253062805,0.6666666666666665,0.9934045379599633
known_zero,9,48.00515088116716,-0.05,0.45,HBR,10.0,0.002,0.4917028738752692,0.9237510392166932,0.6666666666666666,0.9930988390913229
known_zero,9,48.00515088116716,-0.02,0.48,HBR,10.0,0.002,0.22034020427910556,0.9689846315704569,0.8333333333333333,0.9935090377232603
known_zero,9,48.00515088116716,-0.01,0.49,HBR,10.0,0.002,0.11740778306728906,0.9844060682222358,0.9090909090909091,0.99363950695175
known_zero,9,48.00515088116716,-0.005,0.495,HBR,10.0,0.002,0.06295574500844119,0.9921814467161187,0.9523809523809523,0.993703603490572
known_zero,9,48.00515088116716,-0.002,0.498,HBR,10.0,0.002,0.029218113130877552,0.9968673944996768,0.9803921568627451,0.993741701780839
known_zero,9,48.00515088116716,0.0,0.5,HBR,10.0,0.002,0.006252554703049447,0.999999999999998,1.0,0.9937669518377038
