set,source_n,t,delta,sigma,config,alpha,dsigma,F_MAAT,H,B,R
random_critical_line,34,85.31831083971072,-0.05,0.45,HBR,10.0,0.001,1.2522822676480239,0.4311462740079313,0.6666666666666666,0.9945058524012133
random_critical_line,34,85.31831083971072,-0.02,0.48,HBR,10.0,0.001,1.0045743869654986,0.44169240335566634,0.8333333333333333,0.9949017693215735
random_critical_line,34,85.31831083971072,-0.01,0.49,HBR,10.0,0.001,0.9098779034440037,0.4450438602030498,0.9090909090909091,0.9950271216799484
random_critical_line,34,85.31831083971072,-0.005,0.495,HBR,10.0,0.001,0.8596079400222324,0.44668828373054614,0.9523809523809523,0.9950886041488213
random_critical_line,34,85.31831083971072,-0.002,0.498,HBR,10.0,0.001,0.8283998305736024,0.44766486315593684,0.9803921568627451,0.9951251175421512
random_critical_line,34,85.31831083971072,0.0,0.5,HBR,10.0,0.001,0.8071290131525074,0.4483117066205014,1.0,0.9951493044492553
random_critical_line,34,85.31831083971072,0.002,0.502,HBR,10.0,0.001,0.8254731712170315,0.4489551764570303,0.9803921568627451,0.9951733678214943
random_critical_line,34,85.31831083971072,0.005,0.505,HBR,10.0,0.001,0.8522911693072965,0.4499140451321189,0.9523809523809523,0.9952092326478319
random_critical_line,34,85.31831083971072,0.01,0.51,HBR,10.0,0.001,0.8952434883947042,0.45149522690669847,0.9090909090909091,0.9952683986832341
random_critical_line,34,85.31831083971072,0.02,0.52,HBR,10.0,0.001,0.9752985716563594,0.45459388735003214,0.8333333333333333,0.995384483389111
random_critical_line,34,85.31831083971072,0.05,0.55,HBR,10.0,0.001,1.178970905765322,0.4633780509298317,0.6666666666666665,0.9957154407489369
random_critical_line,35,42.290143080909836,-0.05,0.45,HBR,10.0,0.001,1.1850913278183333,0.459708953467248,0.6666666666666666,0.9975385143196884
random_critical_line,35,42.290143080909836,-0.02,0.48,HBR,10.0,0.001,0.9455042743620414,0.46724556203592504,0.8333333333333333,0.9977202158339469
random_critical_line,35,42.290143080909836,-0.01,0.49,HBR,10.0,0.001,0.853237571680407,0.46968023441097595,0.9090909090909091,0.9977782480121641
random_critical_line,35,42.290143080909836,-0.005,0.495,HBR,10.0,0.001,0.8041316018461914,0.47088290182343434,0.9523809523809523,0.9978068028601641
random_critical_line,35,42.290143080909836,-0.002,0.498,HBR,10.0,0.001,0.7736057559818068,0.471599793950311,0.9803921568627451,0.9978237899316448
random_critical_line,35,42.290143080909836,0.0,0.5,HBR,10.0,0.001,0.7527830964004933,0.47207575716586825,1.0,0.9978350542838893
random_critical_line,35,42.290143080909836,0.002,0.502,HBR,10.0,0.001,0.7715700861133025,0.4725501468493613,0.9803921568627451,0.9978462705711204
random_critical_line,35,42.290143080909836,0.005,0.505,HBR,10.0,0.001,0.7990423860993113,0.473258778060046,0.9523809523809523,0.9978630052992622
random_critical_line,35,42.290143080909836,0.01,0.51,HBR,10.0,0.001,0.8430588468018076,0.47443194394400856,0.9090909090909091,0.9978906588933849
random_critical_line,35,42.290143080909836,0.02,0.52,HBR,10.0,0.001,0.9251444779147141,0.4767486374438702,0.8333333333333333,0.9979450856237675
random_critical_line,35,42.290143080909836,0.05,0.55,HBR,10.0,0.001,1.1341508130965856,0.48346061271831436,0.6666666666666665,0.9981015296300072
random_critical_line,36,119.4631652959751,-0.05,0.45,HBR,10.0,0.001,1.638504512837135,0.29408315692887993,0.6666666666666666,0.9908950040162534
random_critical_line,36,119.4631652959751,-0.02,0.48,HBR,10.0,0.001,1.3815405392352895,0.30397693125539105,0.8333333333333333,0.9916197933841816
random_critical_line,36,119.4631652959751,-0.01,0.49,HBR,10.0,0.001,1.2837719737247064,0.3071936839607806,0.9090909090909091,0.9918484495668372
random_critical_line,36,119.4631652959751,-0.005,0.495,HBR,10.0,0.001,1.2319689068617596,0.3087860305614551,0.9523809523809523,0.991960448432643
random_critical_line,36,119.4631652959751,-0.002,0.498,HBR,10.0,0.001,1.199841935109378,0.3097362137165672,0.9803921568627451,0.9920269144337704
random_critical_line,36,119.4631652959751,0.0,0.5,HBR,10.0,0.001,1.1779589734328704,0.31036747092577727,1.0,0.9920709223006127
random_critical_line,36,119.4631652959751,0.002,0.502,HBR,10.0,0.001,1.1956913396680324,0.3109969579487566,0.9803921568627451,0.9921146894540368
random_critical_line,36,119.4631652959751,0.005,0.505,HBR,10.0,0.001,1.2215923257945267,0.3119378480692921,0.9523809523809523,0.9921798916907183
random_critical_line,36,119.4631652959751,0.01,0.51,HBR,10.0,0.001,1.2630181512127792,0.3134970113369987,0.9090909090909091,0.9922873768514991
random_critical_line,36,119.4631652959751,0.02,0.52,HBR,10.0,0.001,1.3400276136509288,0.31658112558685125,0.8333333333333333,0.9924979741422822
random_critical_line,36,119.4631652959751,0.05,0.55,HBR,10.0,0.001,1.534630063437768,0.3255506631104745,0.6666666666666665,0.9930961687726925
random_critical_line,37,64.20461405797917,-0.05,0.45,HBR,10.0,0.001,1.6912775309728776,0.2787840768635694,0.6666666666666666,0.9915412700565935
random_critical_line,37,64.20461405797917,-0.02,0.48,HBR,10.0,0.001,1.4414373921291121,0.28619200473375794,0.8333333333333333,0.9920086151081867
random_critical_line,37,64.20461405797917,-0.01,0.49,HBR,10.0,0.001,1.345822449032888,0.2886214256812807,0.9090909090909091,0.992158036005924
random_critical_line,37,64.20461405797917,-0.005,0.495,HBR,10.0,0.001,1.295055478283987,0.28982830752580674,0.9523809523809523,0.9922315914939602
random_critical_line,37,64.20461405797917,-0.002,0.498,HBR,10.0,0.001,1.2635372388877288,0.2905498891647717,0.9803921568627451,0.9922753599022903
random_critical_line,37,64.20461405797917,0.0,0.5,HBR,10.0,0.001,1.242054738253229,0.2910298725934406,1.0,0.9923043878831957
random_critical_line,37,64.20461405797917,0.002,0.502,HBR,10.0,0.001,1.2601832914664146,0.29150899395653557,0.9803921568627451,0.9923332956971559
random_critical_line,37,64.20461405797917,0.005,0.505,HBR,10.0,0.001,1.2866705716517874,0.29222604987950956,0.9523809523809523,0.9923764332231119
random_critical_line,37,64.20461405797917,0.01,0.51,HBR,10.0,0.001,1.3290523637946394,0.2934167702116242,0.9090909090909091,0.9924477354787519
