set,config,alpha,dsigma,delta,mean_F,median_F,std_F,mean_H,mean_B,mean_R
jittered_zero,BR,20.0,0.001,-0.05,0.6977839661801084,0.6974761979044762,0.001635738783313368,0.8214002277480669,0.5000000000000001,0.9953752455105596
jittered_zero,BR,20.0,0.001,-0.02,0.3407735371255153,0.34051256773813754,0.0014863377867952356,0.8497522067529146,0.7142857142857141,0.995709008821016
jittered_zero,BR,20.0,0.001,-0.01,0.1865170157393454,0.18624613771934845,0.0014394750339253271,0.8562582644403356,0.8333333333333333,0.9958143352647377
jittered_zero,BR,20.0,0.001,-0.005,0.0994537962310552,0.09917550185212447,0.0014165686695446686,0.8585300784244148,0.909090909090909,0.9958659303813351
jittered_zero,BR,20.0,0.001,-0.002,0.04333356361933761,0.043050932357853997,0.0014029896821127492,0.8594465753298236,0.9615384615384615,0.9958965510459452
jittered_zero,BR,20.0,0.001,0.0,0.0040924800497214656,0.0038070039514483496,0.0013940049811366308,0.8598261347082454,1.0,0.995916825885169
jittered_zero,BR,20.0,0.001,0.002,0.04329293426832001,0.043004650115277196,0.0013850742455067244,0.8600072776802227,0.9615384615384615,0.9959369902592291
jittered_zero,BR,20.0,0.001,0.005,0.09935222024601371,0.09905979232251332,0.0013717785823762385,0.8599369485364905,0.909090909090909,0.9959670309737076
jittered_zero,BR,20.0,0.001,0.01,0.18631384514364097,0.1860146906362951,0.0013498841759940472,0.8591036540259818,0.8333333333333333,0.996016554729805
jittered_zero,BR,20.0,0.001,0.02,0.34036704690915975,0.3400550968024615,0.0013070705910484196,0.855638454617325,0.7142857142857141,0.996113594012157
jittered_zero,BR,20.0,0.001,0.05,0.6967651304656066,0.6964551417093046,0.0011860736465125982,0.8381556567268396,0.49999999999999983,0.9963892701195458
jittered_zero,BR,20.0,0.002,-0.05,0.7023968110423067,0.7017865796287619,0.003254567359150282,0.8214002277480669,0.5000000000000001,0.9907981280086032
jittered_zero,BR,20.0,0.002,-0.02,0.34505431869617526,0.3445366632902321,0.00295843726905069,0.8497522067529146,0.7142857142857141,0.9914588662198607
jittered_zero,BR,20.0,0.002,-0.01,0.1906929797307749,0.19015541223534171,0.002865507140748133,0.8562582644403356,0.8333333333333333,0.9916674867135266
jittered_zero,BR,20.0,0.002,-0.005,0.10357840955076562,0.10302597603061621,0.0028200756802588055,0.8585300784244148,0.909090909090909,0.9917697005645572
jittered_zero,BR,20.0,0.002,-0.002,0.04742769984751247,0.046866572019606284,0.0027931413841626503,0.8594465753298236,0.9615384615384615,0.9918303683990637
jittered_zero,BR,20.0,0.002,0.0,0.008166435887954146,0.007599604470346463,0.0027753190226083983,0.8598261347082454,1.0,0.9918705407956064
jittered_zero,BR,20.0,0.002,0.002,0.04734681918156778,0.046774357567858055,0.002757602950091957,0.8600072776802227,0.9615384615384615,0.9919104962497242
jittered_zero,BR,20.0,0.002,0.005,0.10337620276645554,0.10279543217410134,0.0027312266833606747,0.8599369485364905,0.909090909090909,0.9919700251217186
jittered_zero,BR,20.0,0.002,0.01,0.19028852959348416,0.18969426932618982,0.002687788348314007,0.8591036540259818,0.8333333333333333,0.9920681710467723
jittered_zero,BR,20.0,0.002,0.02,0.3442451258352919,0.3436251987178045,0.0026028332754449227,0.855638454617325,0.7142857142857141,0.9922605166688003
jittered_zero,BR,20.0,0.002,0.05,0.7003687044938223,0.699752216246934,0.0023626430176843763,0.8381556567268396,0.49999999999999983,0.992807188801106
jittered_zero,BR,20.0,0.005,-0.05,0.7160946920851412,0.7146077534716835,0.008012572147045038,0.8214002277480669,0.5000000000000001,0.977344311869817
