epsilon,chi2
-4.439999999999999503e-03,1.240337499015568490e+01
-4.419999999999999450e-03,1.240350185360276569e+01
-4.399999999999999398e-03,1.240362895222900619e+01
-4.379999999999999345e-03,1.240375628603440994e+01
-4.360000000000000160e-03,1.240388385501897162e+01
-4.340000000000000108e-03,1.240401165918267701e+01
-4.320000000000000055e-03,1.240413969852555098e+01
-4.300000000000000003e-03,1.240426797304757400e+01
-4.279999999999999950e-03,1.240439648274874607e+01
-4.259999999999999898e-03,1.240452522762908316e+01
-4.239999999999999845e-03,1.240465420768856752e+01
-4.219999999999999793e-03,1.240478342292722047e+01
-4.199999999999999740e-03,1.240491287334502069e+01
-4.179999999999999688e-03,1.240504255894199126e+01
-4.159999999999999636e-03,1.240517247971810200e+01
-4.139999999999999583e-03,1.240530263567336355e+01
-4.119999999999999531e-03,1.240543302680779014e+01
-4.099999999999999478e-03,1.240556365312138354e+01
-4.079999999999999426e-03,1.240569451461411710e+01
-4.059999999999999373e-03,1.240582561128601213e+01
-4.039999999999999321e-03,1.240595694313706332e+01
-4.020000000000000136e-03,1.240608851016727598e+01
-4.000000000000000083e-03,1.240622031237663236e+01
-3.980000000000000031e-03,1.240635234976515022e+01
-3.959999999999999978e-03,1.240648462233281357e+01
-3.939999999999999926e-03,1.240661713007964551e+01
-3.919999999999999873e-03,1.240674987300564069e+01
-3.899999999999999821e-03,1.240688285111078315e+01
-3.879999999999999769e-03,1.240701606439507820e+01
-3.859999999999999716e-03,1.240714951285854006e+01
-3.839999999999999664e-03,1.240728319650114742e+01
-3.819999999999999611e-03,1.240741711532291447e+01
-3.799999999999999559e-03,1.240755126932383945e+01
-3.779999999999999506e-03,1.240768565850390814e+01
-3.759999999999999454e-03,1.240782028286314720e+01
-3.739999999999999401e-03,1.240795514240153885e+01
-3.719999999999999349e-03,1.240809023711909020e+01
-3.699999999999999296e-03,1.240822556701578172e+01
-3.680000000000000111e-03,1.240836113209164182e+01
-3.660000000000000059e-03,1.240849693234665807e+01
-3.640000000000000006e-03,1.240863296778083225e+01
-3.619999999999999954e-03,1.240876923839415014e+01
-3.599999999999999901e-03,1.240890574418663306e+01
-3.579999999999999849e-03,1.240904248515827035e+01
-3.559999999999999797e-03,1.240917946130907090e+01
-3.539999999999999744e-03,1.240931667263901694e+01
-3.519999999999999692e-03,1.240945411914812624e+01
-3.499999999999999639e-03,1.240959180083638103e+01
-3.479999999999999587e-03,1.240972971770380084e+01
-3.459999999999999534e-03,1.240986786975037681e+01
-3.439999999999999482e-03,1.241000625697610182e+01
-3.419999999999999429e-03,1.241014487938099187e+01
-3.399999999999999377e-03,1.241028373696503806e+01
-3.379999999999999324e-03,1.241042282972822974e+01
-3.359999999999999272e-03,1.241056215767058113e+01
-3.340000000000000087e-03,1.241070172079209044e+01
-3.320000000000000034e-03,1.241084151909275235e+01
-3.299999999999999982e-03,1.241098155257257929e+01
-3.279999999999999930e-03,1.241112182123155172e+01
-3.259999999999999877e-03,1.241126232506969274e+01
-3.239999999999999825e-03,1.241140306408697924e+01
-3.219999999999999772e-03,1.241154403828342367e+01
-3.199999999999999720e-03,1.241168524765902781e+01
-3.179999999999999667e-03,1.241182669221378099e+01
-3.159999999999999615e-03,1.241196837194769031e+01
-3.139999999999999562e-03,1.241211028686075935e+01
-3.119999999999999510e-03,1.241225243695299696e+01
-3.099999999999999457e-03,1.241239482222437296e+01
-3.079999999999999405e-03,1.241253744267490688e+01
-3.059999999999999352e-03,1.241268029830459696e+01
-3.039999999999999300e-03,1.241282338911345384e+01
-3.019999999999999248e-03,1.241296671510145622e+01
-3.000000000000000062e-03,1.241311027626861474e+01
-2.980000000000000010e-03,1.241325407261493652e+01
-2.959999999999999958e-03,1.241339810414041800e+01
-2.939999999999999905e-03,1.241354237084503964e+01
-2.919999999999999853e-03,1.241368687272881921e+01
-2.899999999999999800e-03,1.241383160979175848e+01
-2.879999999999999748e-03,1.241397658203385213e+01
-2.859999999999999695e-03,1.241412178945512146e+01
-2.839999999999999643e-03,1.241426723205552562e+01
-2.819999999999999590e-03,1.241441290983508772e+01
-2.799999999999999538e-03,1.241455882279381129e+01
-2.779999999999999485e-03,1.241470497093168213e+01
-2.759999999999999433e-03,1.241485135424871622e+01
-2.739999999999999380e-03,1.241499797274490469e+01
-2.719999999999999328e-03,1.241514482642024575e+01
-2.699999999999999276e-03,1.241529191527474296e+01
-2.679999999999999223e-03,1.241543923930840521e+01
-2.660000000000000038e-03,1.241558679852122360e+01
-2.639999999999999986e-03,1.241573459291318571e+01
-2.619999999999999933e-03,1.241588262248430752e+01
-2.599999999999999881e-03,1.241603088723459614e+01
-2.579999999999999828e-03,1.241617938716403557e+01
-2.559999999999999776e-03,1.241632812227262583e+01
-2.539999999999999723e-03,1.241647709256036691e+01
-2.519999999999999671e-03,1.241662629802727658e+01
-2.499999999999999618e-03,1.241677573867332995e+01
-2.479999999999999566e-03,1.241692541449854303e+01
-2.459999999999999513e-03,1.241707532550292292e+01
-2.439999999999999461e-03,1.241722547168644653e+01
-2.419999999999999409e-03,1.241737585304913338e+01
-2.399999999999999356e-03,1.241752646959097461e+01
-2.379999999999999304e-03,1.241767732131196311e+01
-2.359999999999999251e-03,1.241782840821211487e+01
-2.339999999999999199e-03,1.241797973029143343e+01
