z,C_proj_norm,R_proj,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag
2.753441802252816137e-02,1.092239264052073722e+00,7.815344544856003273e-01,9.771537336495833559e-01,5.178791243012129675e-01,5.024000611585159870e-01,5.543869384665470745e-01,6.546383297672994095e-01,6.127220273408597873e-01,2.451425823233153445e-01,1.887202464852448247e-01
3.003754693366708639e-02,1.100997839399095568e+00,7.798300744697473919e-01,9.769904361699492945e-01,5.179513034261452598e-01,5.024194001753188310e-01,5.549262149200988592e-01,6.548444655632119638e-01,6.128726221061219226e-01,2.450984216169445895e-01,1.886850730357100270e-01
3.254067584480600794e-02,1.109820478239133212e+00,7.781148242080035971e-01,9.768260729407670651e-01,5.180240308401635740e-01,5.024388821501939439e-01,5.554699910390810125e-01,6.550522113862512485e-01,6.130243817514534621e-01,2.450538739874447425e-01,1.886496044990759458e-01
3.504380475594492950e-02,1.118707620109686607e+00,7.763886614725132862e-01,9.766606383955959148e-01,5.180973106215095436e-01,5.024585080869206077e-01,5.560183036318272487e-01,6.552615786517881347e-01,6.131773143902318202e-01,2.450089362199622534e-01,1.886138385832251962e-01
3.754693366708385799e-02,1.127659707164273994e+00,7.746515442693097109e-01,9.764941269521032474e-01,5.181711468777502327e-01,5.024782789956079299e-01,5.565711897999986446e-01,6.554725788392626873e-01,6.133314281792867639e-01,2.449636050766089146e-01,1.885777729815155679e-01
4.005006257822277954e-02,1.136677184184830436e+00,7.729034308448132773e-01,9.763265330120555197e-01,5.182455437459990710e-01,5.024981958927308145e-01,5.571286869410128073e-01,6.556852234923674638e-01,6.134867313189928950e-01,2.449178772963549189e-01,1.885414053727342554e-01
4.255319148936170109e-02,1.145760498594166066e+00,7.711442796923732024e-01,9.761578509613567656e-01,5.183205053931368989e-01,5.025182598011649349e-01,5.576908327504976892e-01,6.558995242192414699e-01,6.136432320533691254e-01,2.448717495949163658e-01,1.885047334210484260e-01
4.505632040050062959e-02,1.154910100468480527e+00,7.693740495588492490e-01,9.759880751700358292e-01,5.183960360160358993e-01,5.025384717502233700e-01,5.582576652247711602e-01,6.561154926926520137e-01,6.138009386701694936e-01,2.448252186646492079e-01,1.884677547759606442e-01
4.755944931163955114e-02,1.164126442549971330e+00,7.675926994512297652e-01,9.758171999922605755e-01,5.184721398417864169e-01,5.025588327756920215e-01,5.588292226633475579e-01,6.563331406501845544e-01,6.139598595009785331e-01,2.447782811744390052e-01,1.884304670722614927e-01
5.006257822277847269e-02,1.173409980259479291e+00,7.658001886432932448e-01,9.756452197663559867e-01,5.185488211279251081e-01,5.025793439198671386e-01,5.594055436714689966e-01,6.565524798944314400e-01,6.141200029213065292e-01,2.447309337695920683e-01,1.883928679299833320e-01
5.256570713391740118e-02,1.182761171709230563e+00,7.639964766823026387e-01,9.754721288148050506e-01,5.186260841626665341e-01,5.026000062315909567e-01,5.599866671626657633e-01,6.567735222931797567e-01,6.142813773506825559e-01,2.446831730717267395e-01,1.883549549543544199e-01
5.506883604505632274e-02,1.192180477715628850e+00,7.621815233957419666e-01,9.752979214442605294e-01,5.187039332651359747e-01,5.026208207662890004e-01,5.605726323613410278e-01,6.569962797795994014e-01,6.144439912527477343e-01,2.446349956786645630e-01,1.883167257357530322e-01
5.757196495619524429e-02,1.201668361812131325e+00,7.603552888980829039e-01,9.751225919455543956e-01,5.187823727856052392e-01,5.026417885860077206e-01,5.611634788053867506e-01,6.572207643524333731e-01,6.146078531353499352e-01,2.445863981643219276e-01,1.882781778496624148e-01
6.007509386733417278e-02,1.211225290262189169e+00,7.585177335975930024e-01,9.749461345937157075e-01,5.188614071057312538e-01,5.026629107594516865e-01,5.617592463488234600e-01,6.574469880761882878e-01,6.147729715506379256e-01,2.445373770786002932e-01,1.882393088566245432e-01
6.257822277847309433e-02,1.220851732072256723e+00,7.566688182031758858e-01,9.747685436479649468e-01,5.189410406387957586e-01,5.026841883620213336e-01,5.623599751644715594e-01,6.576749630813217840e-01,6.149393550951524068e-01,2.444879289472793316e-01,1.882001163021964352e-01
6.508135168961201589e-02,1.230548159004889008e+00,7.548085037312416423e-01,9.745898133517352235e-01,5.190212778299494456e-01,5.027056224758512659e-01,5.629657057466499470e-01,6.579047015644353680e-01,6.151070124099213832e-01,2.444380502719075143e-01,1.881605977169047150e-01
