node_id,candidate_id,background_id,vacuum_type,tau,W0,D,energy,abs_energy,lambda_min,F_bridge,F_pheno,Delta_Q_10,Delta_dim,Delta_E,R_support,rank_energy_minima,rank_bridge_minima,rank_pheno_minima
52,111,61,dS minimum,108.1856979497114,-0.00018690839382887634,5.765625e-10,4.2167066457998865e-15,4.2167066457998865e-15,2.0623748531832343e-12,-1.5931051887960894,-1.4203051886538445,0.12,0.008564005649259982,1.2070236441892213e-07,0.36787947427616025,41.0,32.0,32.0
53,113,62,AdS minimum,105.33132049706555,-0.00022816193088024282,4.828125e-10,-2.0854206150099118e-15,2.0854206150099118e-15,3.859333728015579e-12,-1.5894105621011982,-1.4166105620664065,0.12,0.00903996221953056,4.005966335323735e-08,0.36787949685985816,22.0,36.0,36.0
54,115,63,dS minimum,108.14002897948534,-0.00017950400495652554,3.703125e-10,4.44464405767804e-16,4.44464405767804e-16,2.200588638355417e-12,-1.0395955950646119,-0.5595955950630314,0.2,0.008571315304246091,1.379395171940093e-08,0.3678794867193216,5.0,66.0,66.0
55,117,65,AdS minimum,104.19628279489706,-0.0002507886208332338,5.0625e-10,-4.4635653891497445e-15,4.4635653891497445e-15,4.8533664141304545e-12,-1.5878566618084866,-1.4150566616490992,0.12,0.009240602713021248,7.096860149336805e-08,0.3678795025459214,45.0,42.0,42.0
56,120,67,AdS minimum,101.17945609910439,-0.00032315598219993157,5.203125e-10,-1.6208430673390828e-14,1.6208430673390828e-14,8.692601407605341e-12,-1.983766276623494,-1.9069662745217884,0.08,0.009808566386790814,1.5520888105526688e-07,0.3678795193516543,77.0,27.0,27.0
57,122,68,dS minimum,113.40333268320384,-0.00012863476964250956,4.265625e-10,4.973486642754688e-15,4.973486642754688e-15,6.422805372290645e-13,-1.5991600213526036,-1.426360021154719,0.12,0.00778774259209326,3.0056901608194745e-07,0.36787945393975013,49.0,29.0,29.0
58,124,69,AdS minimum,104.96366473757558,-0.00023283493508849753,4.078125e-10,-4.354985062489997e-15,4.354985062489997e-15,4.2058081016752115e-12,-1.9916408537381889,-1.9148408535864618,0.08,0.009104212283530208,8.033233356300991e-08,0.3678795029916909,42.0,26.0,26.0
59,126,70,AdS minimum,104.89418630751257,-0.00024024067730324018,6.1875e-10,-4.980377992421974e-16,4.980377992421974e-16,4.142147334174448e-12,-1.5888183669405502,-1.4160183669385658,0.12,0.009116432994922192,8.629173839821755e-09,0.36787949313982043,7.0,39.0,39.0
60,128,71,dS minimum,106.52668783495824,-0.000207493756243682,4.78125e-10,1.2653230069444183e-16,1.2653230069444183e-16,3.013927357253489e-12,-1.9946584539656316,-1.9178584539655035,0.08,0.008835813461594856,2.9389441916373346e-09,0.3678794898086879,1.0,22.0,22.0
61,130,72,AdS minimum,103.46615120905854,-0.00026961215055248955,6.375e-10,-4.1235297701461186e-15,4.1235297701461186e-15,5.550476159545238e-12,-1.035757552554352,-0.555757552418324,0.2,0.009373317199315247,5.6727051809803734e-08,0.3678795013974261,40.0,72.0,72.0
