eta_g,beta_s,chi2_growth,max_abs_delta_mu_pct,max_abs_delta_slip_pct,max_abs_delta_Sigma_pct,max_abs_delta_Weyl_pct,max_abs_delta_EG_pct,stable
0.006,0.04,12.31267474,0.5989845195,3.99323013,2.607558999,2.370315857,2.239936122,True
0.006,0.042,12.31267474,0.5989845195,4.192891636,2.707987723,2.470512375,2.34000503,True
0.006,0.044,12.31267474,0.5989845195,4.392553143,2.808416447,2.570708894,2.440073937,True
0.006,0.046,12.31267474,0.5989845195,4.592214649,2.908845171,2.670905413,2.540142845,True
0.006,0.048,12.31267474,0.5989845195,4.791876156,3.009273895,2.771101931,2.640211752,True
0.006,0.05,12.31267474,0.5989845195,4.991537662,3.109702619,2.87129845,2.74028066,True
0.006,0.052,12.31267474,0.5989845195,5.191199169,3.210131343,2.971494969,2.840349567,True
0.006,0.054,12.31267474,0.5989845195,5.390860675,3.310560067,3.071691487,2.940418475,True
0.006,0.056,12.31267474,0.5989845195,5.590522182,3.410988791,3.171888006,3.040487382,True
0.006,0.058,12.31267474,0.5989845195,5.790183688,3.511417515,3.272084525,3.140556289,True
0.006,0.06,12.31267474,0.5989845195,5.989845195,3.611846239,3.372281043,3.240625197,True
0.008,-0.06,12.34970829,0.7986460259,5.989845195,2.220195402,2.521350967,2.686519071,True
0.008,-0.058,12.34970829,0.7986460259,5.790183688,2.119567354,2.421032847,2.586370931,True
0.008,-0.056,12.34970829,0.7986460259,5.590522182,2.018939306,2.320714727,2.48622279,True
0.008,-0.054,12.34970829,0.7986460259,5.390860675,1.918311259,2.220396608,2.38607465,True
0.008,-0.052,12.34970829,0.7986460259,5.191199169,1.817683211,2.120078488,2.28592651,True
0.008,-0.05,12.34970829,0.7986460259,4.991537662,1.717055164,2.019760369,2.185778369,True
0.008,-0.048,12.34970829,0.7986460259,4.791876156,1.616427116,1.919442249,2.085630229,True
0.008,-0.046,12.34970829,0.7986460259,4.592214649,1.515799069,1.819124129,1.985482089,True
0.008,-0.044,12.34970829,0.7986460259,4.392553143,1.415171021,1.71880601,1.885333949,True
0.008,-0.042,12.34970829,0.7986460259,4.192891636,1.314542973,1.61848789,1.785185808,True
0.008,-0.04,12.34970829,0.7986460259,3.99323013,1.213914926,1.518169771,1.685037668,True
0.008,-0.038,12.34970829,0.7986460259,3.793568623,1.113286878,1.417851651,1.584889528,True
0.008,-0.036,12.34970829,0.7986460259,3.593907117,1.012658831,1.317533531,1.484741387,True
0.008,-0.034,12.34970829,0.7986460259,3.39424561,0.912030783,1.217215412,1.384593247,True
0.008,-0.032,12.34970829,0.7986460259,3.194584104,0.8114027354,1.116897292,1.284445107,True
0.008,-0.03,12.34970829,0.7986460259,2.994922597,0.7107746879,1.016579172,1.184296966,True
0.008,-0.028,12.34970829,0.7986460259,2.795261091,0.6101466403,0.9162610528,1.084148826,True
0.008,-0.026,12.34970829,0.7986460259,2.595599584,0.5095185927,0.8159429332,0.9840006858,True
0.008,-0.024,12.34970829,0.7986460259,2.395938078,0.4088905451,0.7156248136,0.8838525455,True
0.008,-0.022,12.34970829,0.7986460259,2.196276571,0.3082624975,0.615306694,0.7837044052,True
0.008,-0.02,12.34970829,0.7986460259,1.996615065,0.2076344499,0.5149885744,0.6835562649,True
0.008,-0.018,12.34970829,0.7986460259,1.796953558,0.1070064023,0.4146704548,0.5834081246,True
0.008,-0.016,12.34970829,0.7986460259,1.597292052,0.006378354748,0.3143523351,0.4832599843,True
0.008,-0.014,12.34970829,0.7986460259,1.397630545,0.09424969284,0.2140342155,0.3911772971,True
0.008,-0.012,12.34970829,0.7986460259,1.197969039,0.1948777404,0.1137665797,0.3176012102,True
0.008,-0.01,12.34970829,0.7986460259,0.9983075324,0.295505788,0.04432135897,0.2592932539,True
0.008,-0.008,12.34970829,0.7986460259,0.7986460259,0.3961338356,0.08692014331,0.2154926358,True
0.008,-0.006,12.34970829,0.7986460259,0.5989845195,0.4967618832,0.1872382629,0.1939655216,True
0.008,-0.004,12.34970829,0.7986460259,0.399323013,0.5973899308,0.2875563825,0.1802159741,True
0.008,-0.002,12.34970829,0.7986460259,0.1996615065,0.6980179784,0.3878745022,0.2177769978,True
0.008,0,12.34970829,0.7986460259,0,0.7986460259,0.4881926218,0.3179251381,True
0.008,0.002,12.34970829,0.7986460259,0.1996615065,0.8992740735,0.5885107414,0.4180732784,True
0.008,0.004,12.34970829,0.7986460259,0.399323013,0.9999021211,0.688828861,0.5182214187,True
0.008,0.006,12.34970829,0.7986460259,0.5989845195,1.100530169,0.7891469806,0.618369559,True
0.008,0.008,12.34970829,0.7986460259,0.7986460259,1.201158216,0.8894651002,0.7185176993,True
0.008,0.01,12.34970829,0.7986460259,0.9983075324,1.301786264,0.9897832198,0.8186658396,True
0.008,0.012,12.34970829,0.7986460259,1.197969039,1.402414311,1.090101339,0.9188139799,True
0.008,0.014,12.34970829,0.7986460259,1.397630545,1.503042359,1.190419459,1.01896212,True
0.008,0.016,12.34970829,0.7986460259,1.597292052,1.603670407,1.290737579,1.119110261,True
0.008,0.018,12.34970829,0.7986460259,1.796953558,1.704298454,1.391055698,1.219258401,True
0.008,0.02,12.34970829,0.7986460259,1.996615065,1.804926502,1.491373818,1.319406541,True
0.008,0.022,12.34970829,0.7986460259,2.196276571,1.905554549,1.591691938,1.419554681,True
0.008,0.024,12.34970829,0.7986460259,2.395938078,2.006182597,1.692010057,1.519702822,True
0.008,0.026,12.34970829,0.7986460259,2.595599584,2.106810645,1.792328177,1.619850962,True
0.008,0.028,12.34970829,0.7986460259,2.795261091,2.207438692,1.892646296,1.719999102,True
