z,a,D_LCDM,D_MAAT_eta002,f_LCDM,f_MAAT_eta002,fsigma8_LCDM,fsigma8_MAAT_eta002,C_hat,mu_eta002,eta_slip_beta003,Sigma_eta002_beta003,Weyl_proxy,EG_proxy,delta_D_pct,delta_fsigma8_pct,delta_mu_pct,delta_slip_pct,delta_Sigma_pct,delta_Weyl_pct,delta_EG_pct
2.858152382846820050e+00,2.591914213772263387e-01,3.267757736750774300e-01,3.244083586045467538e-01,9.799218233553773638e-01,9.915839961795512858e-01,2.596941314060853268e-01,2.608809687981269443e-01,9.124875718773716171e-01,1.018249751437547479e+00,1.027374627156321107e+00,1.032186855086357324e+00,1.024708899518069538e+00,1.020047145755391238e+00,-7.244769230918155500e-01,4.570135588415559780e-01,1.824975143754747897e+00,2.737462715632110744e+00,3.218685508635732440e+00,2.470889951806953810e+00,2.004714575539123800e+00
2.851322172557630985e+00,2.596510899881191436e-01,3.273436251079573367e-01,3.249788098541198100e-01,9.798177990424210559e-01,9.914744070150028898e-01,2.601177964401992782e-01,2.613108281347619744e-01,9.083946754340405105e-01,1.018167893508680866e+00,1.027251840263021299e+00,1.032041367906098683e+00,1.024585633374501370e+00,1.019907820582989233e+00,-7.224259378986271907e-01,4.586505463638942404e-01,1.816789350868086572e+00,2.725184026302129858e+00,3.204136790609868335e+00,2.458563337450136999e+00,1.990782058298923296e+00
2.844504054007690019e+00,2.601115738082142026e-01,3.279124027261338115e-01,3.255502007828706135e-01,9.797132512591991693e-01,9.913641001441617640e-01,2.605419623506625704e-01,2.617411520810488668e-01,9.043199955309025873e-01,1.018086399910618001e+00,1.027129599865927112e+00,1.031896538239876593e+00,1.024463004199651195e+00,1.019769338323921914e+00,-7.203759063776749016e-01,4.602674055138615272e-01,1.808639991061800067e+00,2.712959986592711203e+00,3.189653823987659287e+00,2.446300419965119488e+00,1.976933832392191448e+00
2.837698005790606270e+00,2.605728742832617573e-01,3.284821076231211334e-01,3.261225324052359764e-01,9.796081775312821538e-01,9.912530749236928562e-01,2.609666283870596959e-01,2.621719400324080129e-01,9.002634453540009352e-01,1.018005268907079985e+00,1.027007903360620089e+00,1.031752362868702422e+00,1.024341008490726290e+00,1.019631693885246104e+00,-7.183268625980624433e-01,4.618642823405859077e-01,1.800526890707998540e+00,2.700790336062008912e+00,3.175236286870242175e+00,2.434100849072629025e+00,1.963169388524610426e+00
2.830904006537883877e+00,2.610349928615761650e-01,3.290527408907816254e-01,3.266958057343189448e-01,9.795025753741883889e-01,9.911413306874687912e-01,2.613917937876659159e-01,2.626031913723029798e-01,8.962249384027738408e-01,1.017924498768055575e+00,1.026886748152083140e+00,1.031608838586161703e+00,1.024219642760595406e+00,1.019494882201158914e+00,-7.162788403105837531e-01,4.634413219648004234e-01,1.792449876805557452e+00,2.688674815208313973e+00,3.160883858616170272e+00,2.421964276059540566e+00,1.949488220115891401e+00
2.824122034918855384e+00,2.614979309940403396e-01,3.296243036193010623e-01,3.272700217818622637e-01,9.793964422933617575e-01,9.910288667466189416e-01,2.618174577793762059e-01,2.630349054721690671e-01,8.922043884879881093e-01,1.017844087769759653e+00,1.026766131654639702e+00,1.031465962198330644e+00,1.024098903537679073e+00,1.019358898232810562e+00,-7.142318729500819474e-01,4.649986685833451538e-01,1.784408776975965338e+00,2.676613165463970212e+00,3.146596219833064367e+00,2.409890353767907278e+00,1.935889823281056188e+00
2.817352069640619572e+00,2.619616901341101367e-01,3.301967968971634693e-01,3.278451815582222317e-01,9.792897757841475537e-01,9.909156823895799437e-01,2.622436195776323142e-01,2.634670816913421421e-01,8.882017097296861508e-01,1.017764034194593714e+00,1.026646051291890682e+00,1.031323730523689086e+00,1.023978787365839693e+00,1.019223736968111638e+00,-7.121859936374927980e-01,4.665364654744801887e-01,1.776403419459371413e+00,2.664605129189068222e+00,3.132373052368908617e+00,2.397878736583969328e+00,1.922373696811163768e+00
2.810594089447964183e+00,2.624262717378194054e-01,3.307702218111262527e-01,3.284212860723421668e-01,9.791825733317692793e-01,9.908017768821452131e-01,2.626702783863509305e-01,2.638997193769871408e-01,8.842168165551376191e-01,1.017684336331102779e+00,1.026526504496654058e+00,1.031182140393033464e+00,1.023859290804269184e+00,1.019089393421543033e+00,-7.101412351820944879e-01,4.680548550026188970e-01,1.768433633110277903e+00,2.652650449665405752e+00,3.118214039303346397e+00,2.385929080426918425e+00,1.908939342154303276e+00
2.803848073123314855e+00,2.628916772637837074e-01,3.313445794461947758e-01,3.289983363317257048e-01,9.790748324113047740e-01,9.906871494675133505e-01,2.630974333978504109e-01,2.643328178640256265e-01,8.802496236968126997e-01,1.017604992473936321e+00,1.026407488710904481e+00,1.031041188649393980e+00,1.023740410427381509e+00,1.018955862633968978e+00,-7.080976300836285819e-01,4.695539786232323376e-01,1.760499247393632061e+00,2.640748871090448091e+00,3.104118864939398037e+00,2.374041042738150864e+00,1.895586263396897841e+00
2.797113999486651181e+00,2.633579081732058680e-01,3.319198708855971014e-01,3.295763333424098218e-01,9.789665504876643443e-01,9.905717993663382126e-01,2.635250837927782253e-01,2.647663764750638471e-01,8.763000461903522886e-01,1.017526000923806961e+00,1.026289001385710664e+00,1.030900872147948233e+00,1.023622142824701653e+00,1.018823139672450750e+00,-7.060552105345410112e-01,4.710339768876448674e-01,1.752600092380696140e+00,2.628900138571066414e+00,3.090087214794823289e+00,2.362214282470165294e+00,1.882313967245075048e+00
