z,a,dH,dB,dS,dV,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag,Omega_MAAT
8.214567805772058762e+01,1.202708334768512813e-02,6.160718930151332399e-04,6.160683418972717762e-04,7.757969777812488276e-05,1.348117581836744683e-01,9.993843074178795360e-01,9.993843109646259881e-01,9.999224263203645435e-01,8.812034179136037926e-01,9.583270393561402756e-01,9.583270393561402756e-01,3.471986580715660797e-01,2.605118586608300424e-01,2.559416328408900443e-07
8.138187331399603863e+01,1.213859262690628570e-02,6.160718633609972138e-04,6.160679367146005073e-04,7.931937752349277728e-05,1.348116695191796666e-01,9.993843074474970667e-01,9.993843113693097191e-01,9.999206869135411901e-01,8.812034867633151691e-01,9.583270644534569449e-01,9.583270644534569449e-01,3.471980457523924923e-01,2.605113990837619742e-01,2.616809755736124467e-07
8.062508514287223704e+01,1.225113576604119729e-02,6.160718308286318489e-04,6.160675084775485682e-04,8.109806832632532585e-05,1.348115758097874484e-01,9.993843074799894088e-01,9.993843117970195866e-01,9.999189085080369965e-01,8.812035595304995583e-01,9.583270909791621328e-01,9.583270909791621328e-01,3.471974194165123317e-01,2.605109289817207352e-01,2.675490189075528375e-07
7.987524908770451759e+01,1.236472235053715819e-02,6.160717952871609324e-04,6.160670567974224328e-04,8.291664496847697230e-05,1.348114769704415461e-01,9.993843075154870137e-01,9.993843122481438357e-01,9.999170902296314889e-01,8.812036362812066814e-01,9.583271189573651094e-01,9.583271189573651094e-01,3.471967787523521087e-01,2.605104481207922151e-01,2.735486488180709620e-07
7.913230128396882890e+01,1.247936205471312024e-02,6.160717566048965095e-04,6.160665813109647169e-04,8.477600184721056551e-05,1.348113729216518231e-01,9.993843075541217758e-01,9.993843127230450651e-01,9.999152311845140861e-01,8.812037170771646055e-01,9.583271484106002935e-01,9.583271484106002935e-01,3.471961234420606890e-01,2.605099562623604537e-01,2.796828159933290577e-07
7.839617845382278460e+01,1.259506464258358487e-02,6.160717146498006450e-04,6.160660817105850957e-04,8.667705341500296786e-05,1.348112635961095374e-01,9.993843075960252564e-01,9.993843132220303627e-01,9.999133304588455617e-01,8.812038019706418535e-01,9.583271793579555275e-01,9.583271793579555275e-01,3.471954531619795281e-01,2.605094531634714050e-01,2.859545372852456870e-07
7.766681790071577041e+01,1.271183996869029546e-02,6.160716692897607021e-04,6.160655576138380834e-04,8.862073462921263431e-05,1.348111489101256610e-01,9.993843076413293502e-01,9.993843137454819781e-01,9.999113871183095137e-01,8.812038910266273284e-01,9.583272118231537240e-01,9.583272118231537240e-01,3.471947675797977251e-01,2.605089385746531261e-01,2.923668971929850588e-07
7.694415750404945697e+01,1.282969797894148271e-02,6.160716203908374886e-04,6.160650086251318091e-04,9.060800141182514882e-05,1.348110287771344395e-01,9.993843076901680611e-01,9.993843142937948176e-01,9.999094002076542864e-01,8.812039843123431471e-01,9.583272458307320329e-01,9.583272458307320329e-01,3.471940663556641882e-01,2.605084122407717029e-01,2.989230493796944582e-07
7.622813571388638820e+01,1.294864871145905497e-02,6.160715678191582738e-04,6.160644343924452345e-04,9.263983111950738225e-05,1.348109031201044916e-01,9.993843077426750598e-01,9.993843148673206001e-01,9.999073687502239016e-01,8.812040818876089032e-01,9.583272814025303177e-01,9.583272814025303177e-01,3.471933491431936636e-01,2.605078739018052425e-01,3.056262182232504720e-07
7.551869154570822218e+01,1.306870229743346996e-02,6.160715114397054097e-04,6.160638345375287362e-04,9.471722302419639534e-05,1.348107718562649993e-01,9.993843077989852386e-01,9.993843154664370232e-01,9.999052917474785529e-01,8.812041838167006258e-01,9.583273185620125867e-01,9.583273185620125867e-01,3.471926155878619635e-01,2.605073232916161885e-01,3.124797004017602470e-07
