activity,H,B,S_eff,V,R_resp,R_rob,R_sig
4.721030042918455266e-02,6.510390580665303961e-01,7.507248008959358510e-01,3.059226458615526157e-03,4.335825689554499984e-01,5.961925442348686710e-01,1.595669015829315751e-01,5.558886788676600105e-02
5.035765379113019136e-02,6.510801069355607318e-01,7.507537762117589830e-01,3.178306419188023368e-03,4.360175044535058442e-01,5.973267426542281378e-01,1.613273166825024696e-01,5.661150121646298800e-02
5.350500715307583005e-02,6.511226196043207182e-01,7.507837902402691999e-01,3.301604366734477072e-03,4.384739859608531298e-01,5.984674035317404384e-01,1.631028813209062234e-01,5.764989745024545059e-02
5.665236051502146875e-02,6.511666419795737459e-01,7.508148756358092868e-01,3.429252172437165062e-03,4.409519201871737182e-01,5.996144408957642113e-01,1.648936450445983026e-01,5.870422867114076515e-02
5.979971387696710050e-02,6.512122211624419288e-01,7.508470659031309946e-01,3.561385134004857803e-03,4.434512055872784630e-01,6.007677669824332822e-01,1.666996557354540054e-01,5.977466716306511357e-02
6.294706723891274613e-02,6.512594054702821600e-01,7.508803954129683600e-01,3.698142038458425429e-03,4.459717322721522548e-01,6.019272922863636577e-01,1.685209595793626947e-01,6.086138536701355545e-02
6.609442060085837789e-02,6.513082444586242303e-01,7.509148994176521041e-01,3.839665225093357066e-03,4.485133819251449494e-01,6.030929256137064209e-01,1.703576010355822845e-01,6.196455583651190591e-02
6.924177396280400965e-02,6.513587889431523559e-01,7.509506140667553398e-01,3.986100648577157492e-03,4.510760277235359994e-01,6.042645741375286539e-01,1.722096228068959733e-01,6.308435119234806487e-02
7.238912732474965528e-02,6.514110910217189021e-01,7.509875764227604833e-01,4.137597942138260439e-03,4.536595342656880581e-01,6.054421434554965176e-01,1.740770658106177704e-01,6.422094407660497439e-02
7.553648068669528703e-02,6.514652040963696544e-01,7.510258244767340496e-01,4.294310480800945899e-03,4.562637575040099924e-01,6.066255376498341789e-01,1.759599691504876162e-01,6.537450710601531989e-02
7.868383404864091879e-02,6.515211828953687556e-01,7.510653971639993376e-01,4.456395444619454249e-03,4.588885446839418014e-01,6.078146593495270533e-01,1.778583700895030317e-01,6.654521282466203946e-02
8.183118741058656442e-02,6.515790834952026600e-01,7.511063343797930170e-01,4.624013881862108245e-03,4.615337342891716599e-01,6.090094097947346130e-01,1.797723040237254322e-01,6.773323365604635993e-02
8.497854077253219618e-02,6.516389633425481165e-01,7.511486769948950704e-01,4.797330772095013615e-03,4.641991559932894806e-01,6.102096889033754579e-01,1.817018044571065416e-01,6.893874185454926251e-02
8.812589413447782793e-02,6.517008812761826420e-01,7.511924668712169906e-01,4.976515089112672034e-03,4.668846306180789996e-01,6.114153953398403507e-01,1.836469029773736827e-01,7.016190945631051168e-02
9.127324749642347357e-02,6.517648975488219421e-01,7.512377468773347999e-01,5.161739863661305924e-03,4.695899700986398972e-01,6.126264265857889191e-01,1.856076292330157973e-01,7.140290822955248917e-02
