activity,H,B,S_eff,V,R_resp,R_rob,R_sig
1.042655271003266604e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.879210095706913997e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.969664768931182364e-01,9.945462853777238266e-01
4.781299647483654436e-01,7.053970208761295435e-01,7.409933166670099602e-01,2.354877155161572422e-01,8.105645718343622574e-01,7.510667048395762713e-01,5.620189336268379687e-01,4.456653771413376375e-01
1.380792114473263499e-01,6.540635656705117151e-01,6.648806565238056798e-01,3.048348114816762378e-02,4.852963055684124671e-01,5.953744778500995594e-01,2.832101411663321966e-01,1.563016886072686462e-01
8.196117770765610350e-03,6.445065588846202731e-01,7.950743432239585351e-01,2.505485867017656978e-02,3.887744697972991825e-01,5.840422598945558263e-01,2.658007450135855265e-01,1.415942869573765528e-01
7.144546561697784348e-01,8.956987290295176374e-01,9.114139892072188331e-01,6.625330825070786522e-01,9.275921704385414746e-01,9.114753067932664932e-01,8.416093909584660970e-01,7.895926647699993417e-01
1.296967307980878337e+00,8.256264900691860920e-01,8.098169470823505245e-01,5.794350298856062453e-01,8.965914925116302836e-01,8.431827203745462240e-01,7.677016254257709171e-01,7.122116444251981315e-01
1.001506764832546192e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.866375232798496597e-01,9.955258529559913860e-01,9.955258529559913860e-01,9.975367365275744636e-01
6.638924567428914347e-01,8.197256882423213931e-01,9.372070471045548246e-01,4.695477440752637288e-01,9.384105239282928279e-01,8.966693399124118224e-01,7.627710114064809588e-01,6.701988330068873179e-01
2.180640067707752650e+00,2.467516423957757110e-01,3.286516268175065369e-01,9.999999999999999547e-07,7.776728395786073333e-01,3.980438546270541056e-01,1.584704139770060083e-02,1.202159264781258504e-03
2.066955087955291592e+00,3.520748833783665099e-01,3.221015244264292532e-01,9.999999999999999547e-07,7.970007420127317443e-01,4.487752009118953223e-01,1.733890381869928124e-02,1.284150329409189991e-03
2.764372750424931580e-01,6.922544604523601652e-01,7.276658209903521524e-01,5.523575211772814575e-02,6.614731244362328511e-01,6.932714476788441882e-01,3.683261501158749396e-01,2.220730949369284779e-01
9.132363386706885411e-01,9.606386471262167159e-01,9.529868884023929843e-01,9.214514440476162527e-01,9.316041044452338937e-01,9.483299307668323630e-01,9.415376844945296808e-01,9.361389309911686274e-01
1.427463254785943825e+00,6.883667382040494775e-01,5.920895062101629858e-01,3.343859760862245567e-01,9.392747656604317763e-01,7.261058994507079145e-01,5.981525902822194540e-01,5.122259843856242778e-01
1.613679754565860991e+00,4.356292126143332388e-01,5.076723826454616617e-01,8.947881024210489753e-02,8.876087656028476269e-01,5.811755991726379467e-01,3.640496176267355999e-01,2.504050856408491232e-01
8.060187408008788745e-01,9.711006999782491045e-01,9.809163913839634708e-01,7.898457393255133852e-01,9.094129833462755164e-01,9.532770473586174020e-01,9.094941756707978220e-01,8.759202181054291936e-01
1.641819988017765075e+00,4.839705159485580555e-01,5.026924931429521681e-01,7.122692741315282683e-02,9.102021432452563898e-01,6.049967654961923014e-01,3.543854168454512177e-01,2.310223906089606261e-01
2.731300284034922643e-01,6.296603651767060938e-01,7.820774994430422788e-01,6.905818029311189266e-02,6.057589785723690445e-01,6.681674823849467204e-01,3.788504301074251956e-01,2.406211197548903946e-01
7.299877755669504920e-01,8.879703613703562315e-01,8.988097454960881638e-01,6.583927913830966983e-01,9.101947236840276512e-01,8.989458230720416276e-01,8.316132608008129923e-01,7.813969569729635190e-01
1.576152986662991307e+00,5.140183220370424522e-01,5.007758914245720172e-01,1.196648623447689047e-01,8.876813386873790845e-01,6.113543885501033781e-01,4.066412549254452835e-01,2.934581391162552344e-01
1.376502138572825329e+00,7.872281499343708466e-01,7.010574666281930156e-01,3.824543269763402975e-01,9.617711255406944382e-01,8.096711340242150889e-01,6.712377715782533727e-01,5.777375181079696942e-01
1.841862472695640962e+00,3.006270672967068514e-01,3.336925887441943850e-01,3.398649971517903046e-02,8.376971047883963184e-01,4.380132201422889393e-01,2.311756160470177235e-01,1.386455285241404434e-01
1.030854498677411801e-01,7.021639570852978851e-01,7.171978203638234017e-01,9.999999999999999547e-07,4.995517053642882788e-01,6.312760504781022020e-01,2.239569193695212582e-02,1.549246851772524258e-03
3.836617792107067659e-01,6.813878493985319196e-01,8.333023622679689435e-01,4.981402951817889835e-02,7.398640623629680890e-01,7.489445133216645623e-01,3.803427577387267222e-01,2.211849418657585720e-01
1.066880809983262179e-01,6.086630860862415338e-01,7.058995237626645158e-01,1.862092369800854783e-02,4.869196625090042030e-01,5.936435064242084891e-01,2.498300048225630676e-01,1.250085437817530232e-01
4.226512933482649559e-01,6.872362662583267889e-01,7.725186510074042445e-01,1.497950739597737335e-01,7.809821481081451466e-01,7.456792359245716373e-01,4.992159129346584456e-01,3.621408501232432631e-01
9.422183392457018913e-03,6.507315752404996267e-01,6.826795633145728015e-01,9.999999999999999547e-07,4.121524861696044262e-01,5.678394596983107334e-01,2.068565020982594121e-02,1.461584951360944381e-03
1.109262663693505901e+00,9.145457506795806601e-01,9.633347403763170558e-01,9.368018995044899988e-01,9.830329493307164990e-01,9.531989993831457841e-01,9.490730122091652898e-01,9.457850851106002210e-01
