dataset_id,family,split,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,gate_value,runtime_s,compute_cost
pigeon-hole_hole9,satlib_dimacs_pigeonhole,test,vsids,90,415,4.611111111111111,0,0,1,1290,27616,1000,1000,24,0.24240461797181226,4.09928054100601,2497.464
pigeon-hole_hole9,satlib_dimacs_pigeonhole,test,moms,90,415,4.611111111111111,0,0,1,1137,15027,1000,1000,42,0.24240461797181226,3.8185321249766275,2401.2079999999996
pigeon-hole_hole9,satlib_dimacs_pigeonhole,test,jeroslow_wang,90,415,4.611111111111111,0,0,1,1204,13531,1000,1000,38,0.24240461797181226,3.414071250008419,2415.324
pigeon-hole_hole9,satlib_dimacs_pigeonhole,test,progress_only,90,415,4.611111111111111,0,0,1,1165,17588,1000,1000,38,0.24240461797181226,3.4802711670054123,2419.852
pigeon-hole_hole9,satlib_dimacs_pigeonhole,test,score_with_R,90,415,4.611111111111111,0,0,1,1174,19174,1000,1000,70,0.24240461797181226,4.766724749992136,2428.8959999999997
pigeon-hole_hole9,satlib_dimacs_pigeonhole,test,gate_v17,90,415,4.611111111111111,0,0,1,1263,18668,1000,1000,62,0.24240461797181226,3.915595583996037,2453.572
pigeon-hole_hole9,satlib_dimacs_pigeonhole,test,gate_shuffled_R,90,415,4.611111111111111,0,0,1,1200,19061,1000,1000,68,0.5988584263803252,4.047141042014118,2436.2439999999997
uf20-91_uf20-01,satlib_random_3sat_uf20,calibration,vsids,20,91,4.55,1,1,0,6,40,2,2,4,0.7433273655153347,0.0016988340066745877,3.96
uf20-91_uf20-01,satlib_random_3sat_uf20,calibration,moms,20,91,4.55,1,1,0,10,64,4,4,6,0.7433273655153347,0.0023759169853292406,7.256
uf20-91_uf20-01,satlib_random_3sat_uf20,calibration,jeroslow_wang,20,91,4.55,1,1,0,10,50,3,3,7,0.7433273655153347,0.0021318749932106584,6.2
uf20-91_uf20-01,satlib_random_3sat_uf20,calibration,progress_only,20,91,4.55,1,1,0,10,43,4,4,6,0.7433273655153347,0.002354041993385181,7.172
uf20-91_uf20-01,satlib_random_3sat_uf20,calibration,score_with_R,20,91,4.55,1,1,0,3,17,0,0,3,0.7433273655153347,0.0008773749868851155,0.968
uf20-91_uf20-01,satlib_random_3sat_uf20,calibration,gate_v17,20,91,4.55,1,1,0,7,63,5,5,3,0.7433273655153347,0.0020717499719467014,7.351999999999999
uf20-91_uf20-01,satlib_random_3sat_uf20,calibration,gate_shuffled_R,20,91,4.55,1,1,0,8,34,3,3,6,0.28157451636389247,0.0016947089752648026,5.5360000000000005
uf20-91_uf20-010,satlib_random_3sat_uf20,calibration,vsids,20,91,4.55,1,1,0,5,15,0,0,5,0.8429594296192963,0.001104625000152737,1.56
uf20-91_uf20-010,satlib_random_3sat_uf20,calibration,moms,20,91,4.55,1,1,0,4,15,0,0,4,0.8429594296192963,0.0009814579971134663,1.26
uf20-91_uf20-010,satlib_random_3sat_uf20,calibration,jeroslow_wang,20,91,4.55,1,1,0,4,15,0,0,4,0.8429594296192963,0.0009741249959915876,1.26
uf20-91_uf20-010,satlib_random_3sat_uf20,calibration,progress_only,20,91,4.55,1,1,0,5,14,0,0,5,0.8429594296192963,0.0011209170043002814,1.556
uf20-91_uf20-010,satlib_random_3sat_uf20,calibration,score_with_R,20,91,4.55,1,1,0,7,24,1,1,6,0.8429594296192963,0.0014074170030653477,3.196
uf20-91_uf20-010,satlib_random_3sat_uf20,calibration,gate_v17,20,91,4.55,1,1,0,6,23,1,1,5,0.8429594296192963,0.0014125830202829093,2.892
uf20-91_uf20-010,satlib_random_3sat_uf20,calibration,gate_shuffled_R,20,91,4.55,1,1,0,6,14,0,0,6,0.7433273655153347,0.0013785419869236648,1.8559999999999999
uf20-91_uf20-0100,satlib_random_3sat_uf20,test,vsids,20,91,4.55,1,1,0,7,63,4,4,3,0.8592319140883858,0.0019535410101525486,6.351999999999999
uf20-91_uf20-0100,satlib_random_3sat_uf20,test,moms,20,91,4.55,1,1,0,3,17,0,0,3,0.8592319140883858,0.0008571250073146075,0.968
uf20-91_uf20-0100,satlib_random_3sat_uf20,test,jeroslow_wang,20,91,4.55,1,1,0,4,16,0,0,4,0.8592319140883858,0.0009941250027623028,1.264
