mu,pi0,stable,background_safe,fail_reason,min_P_X,min_D,min_c_s2,max_c_s2,max_omega_maat,final_a,final_lambda,final_X,final_w_maat,final_omega_maat
0.0027825594022071257,0.6170370370370372,True,True,,1.0000487197886556,1.0000487197886556,1.0,1.0000373800929752,0.00014255297871657976,1002.1428514392055,0.017509001725810342,1.3702566085156812e-22,-0.8988556873815834,2.325555965956286e-05
0.0027825594022071257,0.7344444444444446,True,True,,1.0000487220535723,1.0000487220535723,1.0,1.0000465478668739,0.00014257024571439304,1002.2600388329157,0.01750981569547596,1.9399310843181328e-22,-0.8988556876411328,2.325772189500638e-05
0.0027825594022071257,0.851851851851852,True,True,,1.0000487246292251,1.0000477299178205,1.0,1.000054355209991,0.00014259003914438104,1002.3973827239736,0.017510741338028633,2.6075520438825854e-22,-0.8988556879362758,2.3260180901325553e-05
0.0027825594022071257,0.9692592592592594,True,True,,1.0000487274851153,1.0000341532583596,1.0,1.0000605066874955,0.00014261218363817115,1002.554787059486,0.017511767692771754,3.3726335804233015e-22,-0.8988556882635126,2.3262907605550874e-05
0.0027825594022071257,1.086666666666667,True,True,,1.000048730591058,1.000022528033406,1.0,1.0000649490024598,0.00014263650502104985,1002.7321426863402,0.017512883911761246,4.2346230958640806e-22,-0.8988556886193779,2.326587323243199e-05
0.0027825594022071257,1.2040740740740743,True,True,,1.0000487339179291,1.0000128640687733,1.0,1.0000677936230689,0.0001426628345093756,1002.9293276512648,0.017514079528500592,5.192902718018172e-22,-0.898855689000529,2.3269050016910427e-05
0.0027825594022071257,1.3214814814814817,True,True,,1.000048737438169,1.0000050294666227,1.0,1.0000692446507775,0.0001426910115281766,1003.1462075196226,0.0175153446383951,6.246790815448451e-22,-0.8988556894038024,2.3272411682618375e-05
0.0027825594022071257,1.438888888888889,True,True,,1.0000487411260794,0.9999988174993807,1.0,1.0000695432573627,0.00014272088538535855,1003.3826357209355,0.01751667000597496,7.395543648314646e-22,-0.8988556898262485,2.3275933726211834e-05
0.0027825594022071257,1.5562962962962965,True,True,,1.0000487449579651,0.999993994102619,1.0,1.0000689307042234,0.00014275231606705123,1003.6384539250607,0.017518047115725955,8.638357173395224e-22,-0.8988556902651468,2.3279593552192715e-05
0.0027825594022071257,1.673703703703704,True,True,,1.0000487489121632,0.9999903278638143,1.0,1.0000676271348186,0.0001427851743999514,1003.913492449587,0.01751946818220545,9.97436900522286e-22,-0.898855690718011,2.3283370499792257e-05
0.0027825594022071257,1.7911111111111113,True,True,,1.0000487529689925,0.9999876066267169,1.0,1.0000658918238032,0.00014281934178620476,1004.2075706966987,0.01752092613257117,1.1402660524577684e-21,-0.8988556911825816,2.328724579672292e-05
0.0027825594022071257,1.9085185185185187,True,True,,1.0000487571106589,0.9999856449538853,1.0,1.0000675549145235,0.00014285470967054166,1004.5204976166129,0.017522414571738167,1.2922259119694655e-21,-0.8988556916568161,2.329120246688292e-05
0.0027825594022071257,2.025925925925926,True,True,,1.0000455828896249,0.9999842859160811,1.0,1.000068678175548,0.0001428911788570959,1004.8520721939585,0.017523927737690913,1.453214054297898e-21,-0.8988556921388733,2.32952252119679e-05
0.0027825594022071257,2.1433333333333335,True,True,,1.0000421989961308,0.9999833997049594,1.0,1.0000693210426121,0.00014292865875816947,1005.2020839534549,0.017525460452233337,1.6231231365439453e-21,-0.8988556926270991,2.3299300280993645e-05
0.0027825594022071257,2.260740740740741,True,True,,1.0000391304961904,0.9999828807106531,1.0,1.0000695441820826,0.00014296706662997964,1005.5703134812369,0.017527008070725,1.8018411511490595e-21,-0.8988556931200099,2.3303415337134538e-05
0.0027825594022071257,2.3781481481481483,True,True,,1.0000363466336983,0.9999826440629579,1.0,1.0000694067243443,0.00014300632683030627,1005.9565329583207,0.01752856643306283,1.9892516857650405e-21,-0.8988556936162764,2.3307559327865673e-05
0.0027825594022071257,2.4955555555555557,True,True,,1.000033818867621,0.9999826221953815,1.0,1.000068964413342,0.00014304637011868123,1006.3605067030308,0.017530131817257703,2.1852341879671576e-21,-0.8988556941147098,2.3311722361983615e-05
0.0027825594022071257,2.612962962962963,True,True,,1.0000315210800261,0.9999827617115606,1.0,1.0000682684839404,0.00014308713300996775,1006.7819917192095,0.017531700896324044,2.389664233364877e-21,-0.8988556946142469,2.3315895595408337e-05
0.0027825594022071257,2.7303703703703706,True,True,,1.0000294296044119,0.9999830206663376,1.0,1.000067365090787,0.00014312855718569902,1007.2207382474315,0.017533270698785963,2.6024137957586306e-21,-0.8988556951139383,2.3320071126569417e-05
